character	act	scene	fromline	toline	lines	words	text
Abbess_Err	5	1	1495	1495	1	7	Be quiet, people. Wherefore throng you hither?
Abbess_Err	5	1	1501	1501	1	8	How long hath this possession held the man?
Abbess_Err	5	1	1506	1511	6	48	Hath he not lost much wealth by wrack of sea?<br>Buried some dear friend? Hath not else his eye<br>Strayed his affection in unlawful love,<br>A sin prevailing much in youthful men<br>Who give their eyes the liberty of gazing?<br>Which of these sorrows is he subject to?
Abbess_Err	5	1	1514	1514	1	7	You should for that have reprehended him.
Abbess_Err	5	1	1516	1516	1	5	Ay, but not rough enough.
Abbess_Err	5	1	1518	1518	1	3	Haply in private.
Abbess_Err	5	1	1520	1520	1	4	Ay, but not enough.
Abbess_Err	5	1	1527	1546	20	145	And thereof came it that the man was mad.<br>The venom clamors of a jealous woman<br>Poisons more deadly than a mad dog’s tooth.<br>It seems his sleeps were hindered by thy railing,<br>And thereof comes it that his head is light.<br>Thou sayst his meat was sauced with thy<br>upbraidings.<br>Unquiet meals make ill digestions.<br>Thereof the raging fire of fever bred,<br>And what’s a fever but a fit of madness?<br>Thou sayest his sports were hindered by thy brawls.<br>Sweet recreation barred, what doth ensue<br>But moody and dull melancholy,<br>Kinsman to grim and comfortless despair,<br>And at her heels a huge infectious troop<br>Of pale distemperatures and foes to life?<br>In food, in sport, and life-preserving rest<br>To be disturbed would mad or man or beast.<br>The consequence is, then, thy jealous fits<br>Hath scared thy husband from the use of wits.
Abbess_Err	5	1	1553	1553	1	8	No, not a creature enters in my house.
Abbess_Err	5	1	1555	1558	4	31	Neither. He took this place for sanctuary,<br>And it shall privilege him from your hands<br>Till I have brought him to his wits again<br>Or lose my labor in assaying it.
Abbess_Err	5	1	1563	1569	7	56	Be patient, for I will not let him stir<br>Till I have used the approvèd means I have,<br>With wholesome syrups, drugs, and holy prayers,<br>To make of him a formal man again.<br>It is a branch and parcel of mine oath,<br>A charitable duty of my order.<br>Therefore depart and leave him here with me.
Abbess_Err	5	1	1573	1573	1	9	Be quiet and depart. Thou shalt not have him.
Abbess_Err	5	1	1798	1798	1	8	Most mighty duke, behold a man much wronged.
Abbess_Err	5	1	1807	1813	7	53	Whoever bound him, I will loose his bonds<br>And gain a husband by his liberty.—<br>Speak, old Egeon, if thou be’st the man<br>That hadst a wife once called Emilia,<br>That bore thee at a burden two fair sons.<br>O, if thou be’st the same Egeon, speak,<br>And speak unto the same Emilia.
Abbess_Err	5	1	1823	1829	7	57	By men of Epidamium he and I<br>And the twin Dromio all were taken up;<br>But by and by rude fishermen of Corinth<br>By force took Dromio and my son from them,<br>And me they left with those of Epidamium.<br>What then became of them I cannot tell;<br>I to this fortune that you see me in.
Abbess_Err	5	1	1863	1876	14	103	Renownèd duke, vouchsafe to take the pains<br>To go with us into the abbey here<br>And hear at large discoursèd all our fortunes,<br>And all that are assembled in this place<br>That by this sympathizèd one day’s error<br>Have suffered wrong. Go, keep us company,<br>And we shall make full satisfaction.—<br>Thirty-three years have I but gone in travail<br>Of you, my sons, and till this present hour<br>My heavy burden ne’er deliverèd.—<br>The Duke, my husband, and my children both,<br>And you, the calendars of their nativity,<br>Go to a gossips’ feast, and go with me.<br>After so long grief, such nativity!
Adriana_Err	2	1	267	269	3	23	Neither my husband nor the slave returned<br>That in such haste I sent to seek his master?<br>Sure, Luciana, it is two o’clock.
Adriana_Err	2	1	276	276	1	8	Why should their liberty than ours be more?
Adriana_Err	2	1	278	278	1	10	Look when I serve him so, he takes it ill.
Adriana_Err	2	1	280	280	1	8	There’s none but asses will be bridled so.
Adriana_Err	2	1	292	292	1	7	This servitude makes you to keep unwed.
Adriana_Err	2	1	294	294	1	9	But, were you wedded, you would bear some sway.
Adriana_Err	2	1	296	296	1	7	How if your husband start some otherwhere?
Adriana_Err	2	1	298	307	10	82	Patience unmoved! No marvel though she pause;<br>They can be meek that have no other cause.<br>A wretched soul bruised with adversity<br>We bid be quiet when we hear it cry,<br>But were we burdened with like weight of pain,<br>As much or more we should ourselves complain.<br>So thou, that hast no unkind mate to grieve thee,<br>With urging helpless patience would relieve me;<br>But if thou live to see like right bereft,<br>This fool-begged patience in thee will be left.
Adriana_Err	2	1	310	310	1	8	Say, is your tardy master now at hand?
Adriana_Err	2	1	313	314	2	10	Say, didst thou speak with him? Know’st thou his<br>mind?
Adriana_Err	2	1	322	323	2	18	But say, I prithee, is he coming home?<br>It seems he hath great care to please his wife.
Adriana_Err	2	1	325	325	1	4	Horn mad, thou villain?
Adriana_Err	2	1	346	346	1	9	Go back again, thou slave, and fetch him home.
Adriana_Err	2	1	349	349	1	9	Back, slave, or I will break thy pate across.
Adriana_Err	2	1	352	352	1	7	Hence, prating peasant. Fetch thy master home.
Adriana_Err	2	1	358	372	15	119	His company must do his minions grace,<br>Whilst I at home starve for a merry look.<br>Hath homely age th’ alluring beauty took<br>From my poor cheek? Then he hath wasted it.<br>Are my discourses dull? Barren my wit?<br>If voluble and sharp discourse be marred,<br>Unkindness blunts it more than marble hard.<br>Do their gay vestments his affections bait?<br>That’s not my fault; he’s master of my state.<br>What ruins are in me that can be found<br>By him not ruined? Then is he the ground<br>Of my defeatures. My decayèd fair<br>A sunny look of his would soon repair.<br>But, too unruly deer, he breaks the pale<br>And feeds from home. Poor I am but his stale.
Adriana_Err	2	1	374	386	13	103	Unfeeling fools can with such wrongs dispense.<br>I know his eye doth homage otherwhere,<br>Or else what lets it but he would be here?<br>Sister, you know he promised me a chain.<br>Would that alone o’ love he would detain,<br>So he would keep fair quarter with his bed.<br>I see the jewel best enamelèd<br>Will lose his beauty. Yet the gold bides still<br>That others touch, and often touching will<br>Wear gold; yet no man that hath a name<br>By falsehood and corruption doth it shame.<br>Since that my beauty cannot please his eye,<br>I’ll weep what’s left away, and weeping die.
Adriana_Err	2	2	507	544	38	289	Ay, ay, Antipholus, look strange and frown.<br>Some other mistress hath thy sweet aspects.<br>I am not Adriana, nor thy wife.<br>The time was once when thou unurged wouldst vow<br>That never words were music to thine ear,<br>That never object pleasing in thine eye,<br>That never touch well welcome to thy hand,<br>That never meat sweet-savored in thy taste,<br>Unless I spake, or looked, or touched, or carved to<br>thee.<br>How comes it now, my husband, O, how comes it<br>That thou art then estrangèd from thyself?<br><span class="quote" data-words="1">Thyself</span> I call it, being strange to me,<br>That, undividable, incorporate,<br>Am better than thy dear self’s better part.<br>Ah, do not tear away thyself from me!<br>For know, my love, as easy mayst thou fall<br>A drop of water in the breaking gulf,<br>And take unmingled thence that drop again<br>Without addition or diminishing,<br>As take from me thyself and not me too.<br>How dearly would it touch thee to the quick,<br>Shouldst thou but hear I were licentious<br>And that this body, consecrate to thee,<br>By ruffian lust should be contaminate!<br>Wouldst thou not spit at me, and spurn at me,<br>And hurl the name of husband in my face,<br>And tear the stained skin off my harlot brow,<br>And from my false hand cut the wedding ring,<br>And break it with a deep-divorcing vow?<br>I know thou canst, and therefore see thou do it.<br>I am possessed with an adulterate blot;<br>My blood is mingled with the crime of lust;<br>For if we two be one, and thou play false,<br>I do digest the poison of thy flesh,<br>Being strumpeted by thy contagion.<br>Keep then fair league and truce with thy true bed,<br>I live distained, thou undishonorèd.
Adriana_Err	2	2	555	557	3	27	By thee; and this thou didst return from him:<br>That he did buffet thee and, in his blows,<br>Denied my house for his, me for his wife.
Adriana_Err	2	2	566	578	13	107	How ill agrees it with your gravity<br>To counterfeit thus grossly with your slave,<br>Abetting him to thwart me in my mood.<br>Be it my wrong you are from me exempt,<br>But wrong not that wrong with a more contempt.<br>Come, I will fasten on this sleeve of thine.<br>Thou art an elm, my husband, I a vine,<br>Whose weakness, married to thy stronger state,<br>Makes me with thy strength to communicate.<br>If aught possess thee from me, it is dross,<br>Usurping ivy, brier, or idle moss,<br>Who, all for want of pruning, with intrusion<br>Infect thy sap and live on thy confusion.
Adriana_Err	2	2	603	611	9	76	Come, come, no longer will I be a fool,<br>To put the finger in the eye and weep<br>Whilst man and master laughs my woes to scorn.<br>Come, sir, to dinner.—Dromio, keep the gate.—<br>Husband, I’ll dine above with you today,<br>And shrive you of a thousand idle pranks.<br>Sirrah, if any ask you for your master,<br>Say he dines forth, and let no creature enter.—<br>Come, sister.—Dromio, play the porter well.
Adriana_Err	2	2	618	618	1	10	Ay, and let none enter, lest I break your pate.
Adriana_Err	3	1	713	713	1	11	Who is that at the door that keeps all this noise?
Adriana_Err	3	1	717	717	1	10	Your wife, sir knave? Go, get you from the door.
Adriana_Err	4	2	1110	1115	6	48	Ah, Luciana, did he tempt thee so?<br>Might’st thou perceive austerely in his eye<br>That he did plead in earnest, yea or no?<br>Looked he or red or pale, or sad or merrily?<br>What observation mad’st thou in this case<br>Of his heart’s meteors tilting in his face?
Adriana_Err	4	2	1117	1117	1	10	He meant he did me none; the more my spite.
Adriana_Err	4	2	1119	1119	1	9	And true he swore, though yet forsworn he were.
Adriana_Err	4	2	1121	1121	1	4	And what said he?
