character	act	scene	fromline	toline	lines	words	text
BOTTOM	1	2	259	260	2	14	You were best to call them generally, man by<br>man, according to the scrip.
BOTTOM	1	2	265	267	3	23	First, good Peter Quince, say what the play<br>treats on, then read the names of the actors, and so<br>grow to a point.
BOTTOM	1	2	271	273	3	26	A very good piece of work, I assure you, and a<br>merry. Now, good Peter Quince, call forth your<br>actors by the scroll. Masters, spread yourselves.
BOTTOM	1	2	275	276	2	9	Ready. Name what part I am for, and<br>proceed.
BOTTOM	1	2	278	278	1	8	What is Pyramus—a lover or a tyrant?
BOTTOM	1	2	280	288	17	109	That will ask some tears in the true performing<br>of it. If I do it, let the audience look to their<br>eyes. I will move storms; I will condole in some<br>measure. To the rest.—Yet my chief humor is for a<br>tyrant. I could play Ercles rarely, or a part to tear a<br>cat in, to make all split:<span class="poem" data-words="27">The raging rocks<br>And shivering shocks<br>Shall break the locks<br>Of prison gates.<br>And Phibbus’ car<br>Shall shine from far<br>And make and mar<br>The foolish Fates.</span><br>This was lofty. Now name the rest of the players.<br>This is Ercles’ vein, a tyrant’s vein. A lover is more<br>condoling.
BOTTOM	1	2	306	307	4	31	An I may hide my face, let me play Thisbe too.<br>I’ll speak in a monstrous little voice: <span class="quote" data-words="2">Thisne,Thisne!</span>—<span class="quote" data-words="11">Ah Pyramus, my lover dear! Thy Thisbedear and lady dear!</span>
BOTTOM	1	2	312	312	1	2	Well, proceed.
BOTTOM	1	2	325	327	4	38	Let me play the lion too. I will roar that I will<br>do any man’s heart good to hear me. I will roar that<br>I will make the Duke say <span class="quote" data-words="8">Let him roar again. Lethim roar again!</span>
BOTTOM	1	2	332	332	1	7	That would hang us, every mother’s son.
BOTTOM	1	2	333	337	5	50	I grant you, friends, if you should fright the<br>ladies out of their wits, they would have no more<br>discretion but to hang us. But I will aggravate my<br>voice so that I will roar you as gently as any sucking<br>dove. I will roar you an ’twere any nightingale.
BOTTOM	1	2	343	344	2	14	Well, I will undertake it. What beard were I<br>best to play it in?
BOTTOM	1	2	346	349	4	22	I will discharge it in either your straw-color<br>beard, your orange-tawny beard, your purple-in-grain<br>beard, or your French-crown-color beard,<br>your perfit yellow.
BOTTOM	1	2	360	362	3	17	We will meet, and there we may rehearse<br>most obscenely and courageously. Take pains. Be<br>perfit. Adieu.
BOTTOM	1	2	364	364	1	5	Enough. Hold, or cut bowstrings.
BOTTOM	3	1	1001	1006	6	42	Good Master Mustardseed, I know your patience<br>well. That same cowardly, giantlike ox-beef<br>hath devoured many a gentleman of your house. I<br>promise you, your kindred hath made my eyes<br>water ere now. I desire you of more acquaintance,<br>good Master Mustardseed.
BOTTOM	3	1	804	804	1	4	Are we all met?
BOTTOM	3	1	810	810	1	2	Peter Quince?
BOTTOM	3	1	812	815	4	32	There are things in this comedy of Pyramus<br>and Thisbe that will never please. First, Pyramus<br>must draw a sword to kill himself, which the ladies<br>cannot abide. How answer you that?
BOTTOM	3	1	819	825	7	62	Not a whit! I have a device to make all well.<br>Write me a prologue, and let the prologue seem to<br>say we will do no harm with our swords, and that<br>Pyramus is not killed indeed. And, for the more<br>better assurance, tell them that I, Pyramus, am not<br>Pyramus, but Bottom the weaver. This will put them<br>out of fear.
BOTTOM	3	1	828	829	2	13	No, make it two more. Let it be written in<br>eight and eight.
BOTTOM	3	1	832	836	5	41	Masters, you ought to consider with yourself,<br>to bring in (God shield us!) a lion among ladies is a<br>most dreadful thing. For there is not a more fearful<br>wildfowl than your lion living, and we ought to look<br>to ’t.
BOTTOM	3	1	839	843	10	104	Nay, you must name his name, and half his<br>face must be seen through the lion’s neck, and he<br>himself must speak through, saying thus, or to the<br>same defect: <span class="quote" data-words="1">Ladies,</span> or <span class="quote" data-words="6">Fair ladies, I wouldwish you,</span> or <span class="quote" data-words="4">I would request you,</span> or <span class="quote" data-words="43">I wouldentreat you not to fear, not to tremble! My life for<br>yours. If you think I come hither as a lion, it were<br>pity of my life. No, I am no such thing. I am a man as<br>other men are.</span> And there indeed let him name his<br>name and tell them plainly he is Snug the joiner.
BOTTOM	3	1	855	856	2	14	A calendar, a calendar! Look in the almanac.<br>Find out moonshine, find out moonshine.
BOTTOM	3	1	858	860	3	25	Why, then, may you leave a casement of the<br>great chamber window, where we play, open, and<br>the moon may shine in at the casement.
BOTTOM	3	1	869	873	5	40	Some man or other must present Wall. And<br>let him have some plaster, or some loam, or some<br>roughcast about him to signify wall, or let him<br>hold his fingers thus, and through that cranny shall<br>Pyramus and Thisbe whisper.
BOTTOM	3	1	884	883	1	7	<span class="poem" data-words="7">Thisbe, the flowers of odious savors sweet—</span>
BOTTOM	3	1	886	885	4	29	<span class="poem" data-words="29">…odors savors sweet.<br>So hath thy breath, my dearest Thisbe dear.—<br>But hark, a voice! Stay thou but here awhile,<br>And by and by I will to thee appear.</span>
BOTTOM	3	1	907	906	1	10	<span class="poem" data-words="10">If I were fair, fair Thisbe, I were only thine.</span>
BOTTOM	3	1	917	918	2	15	Why do they run away? This is a knavery of<br>them to make me afeard.
BOTTOM	3	1	921	922	2	13	What do you see? You see an ass-head of your<br>own, do you?
BOTTOM	3	1	925	929	9	73	I see their knavery. This is to make an ass of<br>me, to fright me, if they could. But I will not stir<br>from this place, do what they can. I will walk up<br>and down here, and I will sing, that they shall hear<br>I am not afraid.<span class="song" data-words="22">The ouzel cock, so black of hue,<br>With orange-tawny bill,<br>The throstle with his note so true,<br>The wren with little quill—</span>
BOTTOM	3	1	935	937	7	49	<span class="song" data-words="24">The finch, the sparrow, and the lark,<br>The plainsong cuckoo gray,<br>Whose note full many a man doth mark<br>And dares not answer <span class="quote" data-words="1">nay</span>—</span>for, indeed, who would set his wit to so foolish a<br>bird? Who would give a bird the lie though he cry<br><span class="quote" data-words="1">cuckoo</span> never so?
BOTTOM	3	1	947	952	6	42	Methinks, mistress, you should have little<br>reason for that. And yet, to say the truth, reason<br>and love keep little company together nowadays.<br>The more the pity that some honest neighbors will<br>not make them friends. Nay, I can gleek upon<br>occasion.
BOTTOM	3	1	954	956	3	23	Not so neither; but if I had wit enough to get<br>out of this wood, I have enough to serve mine own<br>turn.
BOTTOM	3	1	988	989	2	11	I cry your Worships mercy, heartily.—I beseech<br>your Worship’s name.
BOTTOM	3	1	991	993	3	25	I shall desire you of more acquaintance, good<br>Master Cobweb. If I cut my finger, I shall make<br>bold with you.—Your name, honest gentleman?
BOTTOM	3	1	995	999	5	33	I pray you, commend me to Mistress Squash,<br>your mother, and to Master Peascod, your father.<br>Good Master Peaseblossom, I shall desire you of<br>more acquaintance, too.—Your name, I beseech<br>you, sir?
BOTTOM	4	1	1509	1509	1	2	Where’s Peaseblossom?
BOTTOM	4	1	1511	1512	2	7	Scratch my head, Peaseblossom. Where’s<br>Monsieur Cobweb?
BOTTOM	4	1	1514	1522	9	67	Monsieur Cobweb, good monsieur, get you<br>your weapons in your hand and kill me a red-hipped<br>humble-bee on the top of a thistle, and, good<br>monsieur, bring me the honey-bag. Do not fret<br>yourself too much in the action, monsieur, and,<br>good monsieur, have a care the honey-bag break<br>not; I would be loath to have you overflown with a<br>honey-bag, signior.  Where’s Monsieur<br>Mustardseed?
BOTTOM	4	1	1524	1525	2	13	Give me your neaf, Monsieur Mustardseed.<br>Pray you, leave your courtesy, good monsieur.
BOTTOM	4	1	1527	1531	5	42	Nothing, good monsieur, but to help Cavalery<br>Cobweb to scratch. I must to the barber’s,<br>monsieur, for methinks I am marvels hairy about<br>the face. And I am such a tender ass, if my hair do<br>but tickle me, I must scratch.
BOTTOM	4	1	1533	1534	2	15	I have a reasonable good ear in music. Let’s<br>have the tongs and the bones.
BOTTOM	4	1	1536	1539	4	30	Truly, a peck of provender. I could munch<br>your good dry oats. Methinks I have a great desire<br>to a bottle of hay. Good hay, sweet hay, hath no<br>fellow.
BOTTOM	4	1	1542	1544	3	31	I had rather have a handful or two of dried<br>peas. But, I pray you, let none of your people stir<br>me; I have an exposition of sleep come upon me.
BOTTOM	4	1	1714	1733	20	191	 When my cue comes, call me,<br>and I will answer. My next is <span class="quote" data-words="3">Most fair Pyramus.</span><br>Hey-ho! Peter Quince! Flute the bellows-mender!<br>Snout the tinker! Starveling! God’s my life! Stolen<br>hence and left me asleep! I have had a most rare<br>vision. I have had a dream past the wit of man to say<br>what dream it was. Man is but an ass if he go about<br>to expound this dream. Methought I was—there<br>is no man can tell what. Methought I was and<br>methought I had—but man is but a patchedfool if<br>he will offer to say what methought I had. The eye of<br>man hath not heard, the ear of man hath not seen,<br>man’s hand is not able to taste, his tongue to<br>conceive, nor his heart to report what my dream<br>was. I will get Peter Quince to write a ballad of this<br>dream. It shall be called Bottom’s Dream because<br>it hath no bottom; and I will sing it in the<br>latter end of a play, before the Duke. Peradventure,<br>to make it the more gracious, I shall sing it at her<br>death.
BOTTOM	4	2	1758	1759	2	8	Where are these lads? Where are these<br>hearts?
BOTTOM	4	2	1762	1765	4	31	Masters, I am to discourse wonders. But ask<br>me not what; for, if I tell you, I am not true<br>Athenian. I will tell you everything right as it fell<br>out.
BOTTOM	4	2	1767	1778	12	118	Not a word of me. All that I will tell you is that<br>the Duke hath dined. Get your apparel together,<br>good strings to your beards, new ribbons to your<br>pumps. Meet presently at the palace. Every man<br>look o’er his part. For the short and the long is, our<br>play is preferred. In any case, let Thisbe have clean<br>linen, and let not him that plays the lion pare his<br>nails, for they shall hang out for the lion’s claws.<br>And, most dear actors, eat no onions nor garlic, for<br>we are to utter sweet breath, and I do not doubt but<br>to hear them say it is a sweet comedy. No more<br>words. Away! Go, away!
BOTTOM	5	1	1957	1971	15	103	O grim-looked night! O night with hue so black!<br>O night, which ever art when day is not!<br>O night! O night! Alack, alack, alack!<br>I fear my Thisbe’s promise is forgot.<br>And thou, O wall, O sweet, O lovely wall,<br>That stand’st between her father’s ground and<br>mine,<br>Thou wall, O wall, O sweet and lovely wall,<br>Show me thy chink to blink through with mine<br>eyne.<br>Thanks, courteous wall. Jove shield thee well for<br>this.<br>But what see I? No Thisbe do I see.<br>O wicked wall, through whom I see no bliss,<br>Cursed be thy stones for thus deceiving me!
BOTTOM	5	1	1974	1976	4	40	No, in truth, sir, he should not. <span class="quote" data-words="2">Deceivingme</span> is Thisbe’s cue. She is to enter now, and I am<br>to spy her through the wall. You shall see it will fall<br>pat as I told you. Yonder she comes.
BOTTOM	5	1	1982	1984	3	20	I see a voice! Now will I to the chink<br>To spy an I can hear my Thisbe’s face.<br>Thisbe?
BOTTOM	5	1	1986	1987	2	16	Think what thou wilt, I am thy lover’s grace,<br>And, like Limander, am I trusty still.
BOTTOM	5	1	1989	1989	1	7	Not Shafalus to Procrus was so true.
BOTTOM	5	1	1991	1991	1	10	O kiss me through the hole of this vile wall.
