character	act	scene	fromline	toline	lines	words	text
AMBASSADORS	5	2	4125	4130	6	40	The sight is dismal,<br>And our affairs from England come too late.<br>The ears are senseless that should give us hearing<br>To tell him his commandment is fulfilled,<br>That Rosencrantz and Guildenstern are dead.<br>Where should we have our thanks?
BARNARDO	1	1	1	1	1	2	Who’s there?
BARNARDO	1	1	10	10	1	5	Have you had quiet guard?
BARNARDO	1	1	12	14	3	19	Well, good night.<br>If you do meet Horatio and Marcellus,<br>The rivals of my watch, bid them make haste.
BARNARDO	1	1	120	123	4	35	I think it be no other but e’en so.<br>Well may it sort that this portentous figure<br>Comes armèd through our watch so like the king<br>That was and is the question of these wars.
BARNARDO	1	1	155	155	1	2	’Tis here.
BARNARDO	1	1	162	162	1	9	It was about to speak when the cock crew.
BARNARDO	1	1	23	23	1	5	Say, what, is Horatio there?
BARNARDO	1	1	25	25	1	5	Welcome, Horatio.—Welcome, good Marcellus.
BARNARDO	1	1	27	27	1	4	I have seen nothing.
BARNARDO	1	1	3	3	1	4	Long live the King!
BARNARDO	1	1	36	39	4	24	Sit down awhile,<br>And let us once again assail your ears,<br>That are so fortified against our story,<br>What we have two nights seen.
BARNARDO	1	1	42	46	5	35	Last night of all,<br>When yond same star that’s westward from the pole<br>Had made his course t’ illume that part of heaven<br>Where now it burns, Marcellus and myself,<br>The bell then beating one—
BARNARDO	1	1	48	48	1	9	In the same figure like the King that’s dead.
BARNARDO	1	1	5	5	1	1	He.
BARNARDO	1	1	50	50	1	9	Looks he not like the King? Mark it, Horatio.
BARNARDO	1	1	52	52	1	5	It would be spoke to.
BARNARDO	1	1	60	60	1	4	See, it stalks away.
BARNARDO	1	1	63	65	3	20	How now, Horatio, you tremble and look pale.<br>Is not this something more than fantasy?<br>What think you on ’t?
BARNARDO	1	1	7	7	1	9	’Tis now struck twelve. Get thee to bed, Francisco.
BARNARDO	1	2	429	429	1	4	We do, my lord.
BARNARDO	1	2	431	431	1	3	Armed, my lord.
BARNARDO	1	2	433	433	1	6	My lord, from head to foot.
BARNARDO	1	2	447	447	1	2	Longer, longer.
BARNARDO	1	2	465	465	1	5	Our duty to your Honor.
CAPTAIN-HAM	4	4	2838	2838	1	6	I will do ’t, my lord.
CAPTAIN-HAM	4	4	2841	2841	1	5	They are of Norway, sir.
CAPTAIN-HAM	4	4	2843	2843	1	5	Against some part of Poland.
CAPTAIN-HAM	4	4	2845	2845	1	6	The nephew to old Norway, Fortinbras.
CAPTAIN-HAM	4	4	2848	2853	6	53	Truly to speak, and with no addition,<br>We go to gain a little patch of ground<br>That hath in it no profit but the name.<br>To pay five ducats, five, I would not farm it;<br>Nor will it yield to Norway or the Pole<br>A ranker rate, should it be sold in fee.
CAPTAIN-HAM	4	4	2855	2855	1	5	Yes, it is already garrisoned.
CAPTAIN-HAM	4	4	2861	2861	1	5	God be wi’ you, sir.
