character	act	scene	fromline	toline	lines	words	text
	1	1	1	5	5	37	Hence! Home, you idle creatures, get you home!<br>Is this a holiday? What, know you not,<br>Being mechanical, you ought not walk<br>Upon a laboring day without the sign<br>Of your profession?—Speak, what trade art thou?
	1	1	1	5	5	37	Hence! Home, you idle creatures, get you home!<br>Is this a holiday? What, know you not,<br>Being mechanical, you ought not walk<br>Upon a laboring day without the sign<br>Of your profession?—Speak, what trade art thou?
	1	1	10	11	2	17	Truly, sir, in respect of a fine workman, I am<br>but, as you would say, a cobbler.
	1	1	10	11	2	17	Truly, sir, in respect of a fine workman, I am<br>but, as you would say, a cobbler.
	1	1	12	12	1	8	But what trade art thou? Answer me directly.
	1	1	12	12	1	8	But what trade art thou? Answer me directly.
	1	1	13	15	3	22	A trade, sir, that I hope I may use with a safe<br>conscience, which is indeed, sir, a mender of bad<br>soles.
	1	1	13	15	3	22	A trade, sir, that I hope I may use with a safe<br>conscience, which is indeed, sir, a mender of bad<br>soles.
	1	1	16	17	2	9	What trade, thou knave? Thou naughty knave, what<br>trade?
	1	1	16	17	2	9	What trade, thou knave? Thou naughty knave, what<br>trade?
	1	1	18	19	2	20	Nay, I beseech you, sir, be not out with me.<br>Yet if you be out, sir, I can mend you.
	1	1	18	19	2	20	Nay, I beseech you, sir, be not out with me.<br>Yet if you be out, sir, I can mend you.
	1	1	20	21	2	10	What mean’st thou by that? Mend me, thou saucy<br>fellow?
	1	1	20	21	2	10	What mean’st thou by that? Mend me, thou saucy<br>fellow?
	1	1	22	22	1	4	Why, sir, cobble you.
	1	1	22	22	1	4	Why, sir, cobble you.
	1	1	23	23	1	6	Thou art a cobbler, art thou?
	1	1	23	23	1	6	Thou art a cobbler, art thou?
	1	1	24	29	6	54	Truly, sir, all that I live by is with the<br>awl. I meddle with no tradesman’s matters nor<br>women’s matters, but withal I am indeed, sir, a<br>surgeon to old shoes: when they are in great danger,<br>I recover them. As proper men as ever trod upon<br>neat’s leather have gone upon my handiwork.
