character	act	scene	fromline	toline	lines	words	text
ALBANY	1	1	186	186	1	3	Dear sir, forbear.
ALBANY	1	4	849	849	1	4	Pray, sir, be patient.
ALBANY	1	4	862	863	2	14	My lord, I am guiltless as I am ignorant<br>Of what hath moved you.
ALBANY	1	4	880	880	1	8	Now, gods that we adore, whereof comes this?
ALBANY	1	4	886	886	1	4	What’s the matter, sir?
ALBANY	1	4	905	906	2	13	I cannot be so partial, Goneril,<br>To the great love I bear you—
ALBANY	1	4	924	924	1	6	Well, you may fear too far.
ALBANY	1	4	944	945	2	17	How far your eyes may pierce I cannot tell.<br>Striving to better, oft we mar what’s well.
ALBANY	1	4	947	947	1	4	Well, well, th’ event.
ALBANY	4	2	2509	2516	8	51	O Goneril,<br>You are not worth the dust which the rude wind<br>Blows in your face. I fear your disposition.<br>That nature which contemns its origin<br>Cannot be bordered certain in itself.<br>She that herself will sliver and disbranch<br>From her material sap perforce must wither<br>And come to deadly use.
ALBANY	4	2	2518	2532	15	93	Wisdom and goodness to the vile seem vile.<br>Filths savor but themselves. What have you done?<br>Tigers, not daughters, what have you performed?<br>A father, and a gracious agèd man,<br>Whose reverence even the head-lugged bear would<br>lick,<br>Most barbarous, most degenerate, have you<br>madded.<br>Could my good brother suffer you to do it?<br>A man, a prince, by him so benefited!<br>If that the heavens do not their visible spirits<br>Send quickly down to tame these vile offenses,<br>It will come:<br>Humanity must perforce prey on itself,<br>Like monsters of the deep.
ALBANY	4	2	2544	2546	3	15	See thyself, devil!<br>Proper deformity shows not in the fiend<br>So horrid as in woman.
ALBANY	4	2	2548	2553	6	45	Thou changèd and self-covered thing, for shame<br>Bemonster not thy feature. Were ’t my fitness<br>To let these hands obey my blood,<br>They are apt enough to dislocate and tear<br>Thy flesh and bones. Howe’er thou art a fiend,<br>A woman’s shape doth shield thee.
ALBANY	4	2	2555	2555	1	2	What news?
ALBANY	4	2	2559	2559	1	2	Gloucester’s eyes?
