character	act	scene	fromline	toline	lines	words	text
ANGUS	1	3	196	199	4	21	We are sent<br>To give thee from our royal master thanks,<br>Only to herald thee into his sight,<br>Not pay thee.
ANGUS	1	3	207	215	9	58	Who was the Thane lives yet,<br>But under heavy judgment bears that life<br>Which he deserves to lose. Whether he was<br>combined<br>With those of Norway, or did line the rebel<br>With hidden help and vantage, or that with both<br>He labored in his country’s wrack, I know not;<br>But treasons capital, confessed and proved,<br>Have overthrown him.
ANGUS	5	2	2125	2126	2	13	Near Birnam Wood<br>Shall we well meet them. That way are they coming.
ANGUS	5	2	2138	2144	7	45	Now does he feel<br>His secret murders sticking on his hands.<br>Now minutely revolts upbraid his faith-breach.<br>Those he commands move only in command,<br>Nothing in love. Now does he feel his title<br>Hang loose about him, like a giant’s robe<br>Upon a dwarfish thief.
APPARITION1-MAC	4	1	1559	1560	2	13	Macbeth! Macbeth! Macbeth! Beware Macduff!<br>Beware the Thane of Fife. Dismiss me. Enough.
APPARITION2-MAC	4	1	1566	1566	1	3	Macbeth! Macbeth! Macbeth!—
APPARITION2-MAC	4	1	1568	1570	3	20	Be bloody, bold, and resolute. Laugh to scorn<br>The power of man, for none of woman born<br>Shall harm Macbeth.
APPARITION3-MAC	4	1	1581	1585	5	32	Be lion-mettled, proud, and take no care<br>Who chafes, who frets, or where conspirers are.<br>Macbeth shall never vanquished be until<br>Great Birnam Wood to high Dunsinane Hill<br>Shall come against him.
BANQUO	1	3	131	140	10	75	How far is ’t called to Forres?—What are these,<br>So withered, and so wild in their attire,<br>That look not like th’ inhabitants o’ th’ earth<br>And yet are on ’t?—Live you? Or are you aught<br>That man may question? You seem to understand<br>me<br>By each at once her choppy finger laying<br>Upon her skinny lips. You should be women,<br>And yet your beards forbid me to interpret<br>That you are so.
BANQUO	1	3	145	155	11	92	Good sir, why do you start and seem to fear<br>Things that do sound so fair?—I’ th’ name of truth,<br>Are you fantastical, or that indeed<br>Which outwardly you show? My noble partner<br>You greet with present grace and great prediction<br>Of noble having and of royal hope,<br>That he seems rapt withal. To me you speak not.<br>If you can look into the seeds of time<br>And say which grain will grow and which will not,<br>Speak, then, to me, who neither beg nor fear<br>Your favors nor your hate.
BANQUO	1	3	173	174	2	17	The earth hath bubbles, as the water has,<br>And these are of them. Whither are they vanished?
BANQUO	1	3	177	179	3	22	Were such things here as we do speak about?<br>Or have we eaten on the insane root<br>That takes the reason prisoner?
BANQUO	1	3	181	181	1	4	You shall be king.
BANQUO	1	3	183	183	1	8	To th’ selfsame tune and words.—Who’s here?
BANQUO	1	3	204	204	1	6	What, can the devil speak true?
BANQUO	1	3	223	230	8	53	That, trusted home,<br>Might yet enkindle you unto the crown,<br>Besides the Thane of Cawdor. But ’tis strange.<br>And oftentimes, to win us to our harm,<br>The instruments of darkness tell us truths,<br>Win us with honest trifles, to betray ’s<br>In deepest consequence.—<br>Cousins, a word, I pray you.
BANQUO	1	3	247	247	1	5	Look how our partner’s rapt.
BANQUO	1	3	251	253	3	20	New honors come upon him,<br>Like our strange garments, cleave not to their mold<br>But with the aid of use.
BANQUO	1	3	256	256	1	7	Worthy Macbeth, we stay upon your leisure.
BANQUO	1	3	265	265	1	2	Very gladly.
