character	act	scene	fromline	toline	lines	words	text
ANTONIO-MV	1	1	1	7	7	58	In sooth I know not why I am so sad.<br>It wearies me, you say it wearies you.<br>But how I caught it, found it, or came by it,<br>What stuff ’tis made of, whereof it is born,<br>I am to learn.<br>And such a want-wit sadness makes of me<br>That I have much ado to know myself.
ANTONIO-MV	1	1	117	117	1	10	Fare you well. I’ll grow a talker for this gear.
ANTONIO-MV	1	1	120	120	1	4	Is that anything now?
ANTONIO-MV	1	1	126	128	3	24	Well, tell me now what lady is the same<br>To whom you swore a secret pilgrimage,<br>That you today promised to tell me of?
ANTONIO-MV	1	1	142	146	5	38	I pray you, good Bassanio, let me know it;<br>And if it stand, as you yourself still do,<br>Within the eye of honor, be assured<br>My purse, my person, my extremest means<br>Lie all unlocked to your occasions.
ANTONIO-MV	1	1	160	167	8	69	You know me well, and herein spend but time<br>To wind about my love with circumstance;<br>And out of doubt you do me now more wrong<br>In making question of my uttermost<br>Than if you had made waste of all I have.<br>Then do but say to me what I should do<br>That in your knowledge may by me be done,<br>And I am prest unto it. Therefore speak.
ANTONIO-MV	1	1	184	192	9	72	Thou know’st that all my fortunes are at sea;<br>Neither have I money nor commodity<br>To raise a present sum. Therefore go forth:<br>Try what my credit can in Venice do;<br>That shall be racked even to the uttermost<br>To furnish thee to Belmont to fair Portia.<br>Go presently inquire, and so will I,<br>Where money is, and I no question make<br>To have it of my trust, or for my sake.
ANTONIO-MV	1	1	42	46	5	40	Believe me, no. I thank my fortune for it,<br>My ventures are not in one bottom trusted,<br>Nor to one place; nor is my whole estate<br>Upon the fortune of this present year:<br>Therefore my merchandise makes me not sad.
ANTONIO-MV	1	1	48	48	1	2	Fie, fie!
ANTONIO-MV	1	1	65	67	3	24	Your worth is very dear in my regard.<br>I take it your own business calls on you,<br>And you embrace th’ occasion to depart.
ANTONIO-MV	1	1	81	83	3	23	I hold the world but as the world, Gratiano,<br>A stage where every man must play a part,<br>And mine a sad one.
ANTONIO-MV	1	3	389	394	6	37	Shylock, albeit I neither lend nor borrow<br>By taking nor by giving of excess,<br>Yet, to supply the ripe wants of my friend,<br>I’ll break a custom. Is he yet<br>possessed<br>How much you would?
ANTONIO-MV	1	3	397	397	1	4	And for three months.
ANTONIO-MV	1	3	404	404	1	5	I do never use it.
ANTONIO-MV	1	3	409	409	1	8	And what of him? Did he take interest?
