character	act	scene	fromline	toline	lines	words	text
ANTONIO-ADO	2	1	535	535	1	6	At a word, I am not.
ANTONIO-ADO	2	1	537	537	1	7	To tell you true, I counterfeit him.
ANTONIO-ADO	2	1	541	541	1	6	At a word, I am not.
BALTHASAR-ADO	2	1	529	529	1	1	Amen.
BALTHASAR-ADO	2	1	532	532	1	7	No more words. The clerk is answered.
BALTHASAR-ADO	2	3	901	902	2	17	O, good my lord, tax not so bad a voice<br>To slander music any more than once.
BALTHASAR-ADO	2	3	906	909	4	31	Because you talk of wooing, I will sing,<br>Since many a wooer doth commence his suit<br>To her he thinks not worthy, yet he woos,<br>Yet will he swear he loves.
BALTHASAR-ADO	2	3	913	914	2	15	Note this before my notes:<br>There’s not a note of mine that’s worth the noting.
BALTHASAR-ADO	2	3	921	920	16	97	<span class="song" data-words="97">Sigh no more, ladies, sigh no more,<br>Men were deceivers ever,<br>One foot in sea and one on shore,<br>To one thing constant never.<br>Then sigh not so, but let them go,<br>And be you blithe and bonny,<br>Converting all your sounds of woe<br>Into Hey, nonny nonny.<br>Sing no more ditties, sing no mo,<br>Of dumps so dull and heavy.<br>The fraud of men was ever so,<br>Since summer first was leavy.<br>Then sigh not so, but let them go,<br>And be you blithe and bonny,<br>Converting all your sounds of woe<br>Into Hey, nonny nonny.</span>
BALTHASAR-ADO	2	3	938	938	1	6	And an ill singer, my lord.
BALTHASAR-ADO	2	3	950	950	1	6	The best I can, my lord.
BEATRICE	1	1	114	115	2	13	I wonder that you will still be talking, Signior<br>Benedick, nobody marks you.
BEATRICE	1	1	118	121	4	30	Is it possible disdain should die while she<br>hath such meet food to feed it as Signior Benedick?<br>Courtesy itself must convert to disdain if you come<br>in her presence.
BEATRICE	1	1	126	130	5	46	A dear happiness to women. They would<br>else have been troubled with a pernicious suitor. I<br>thank God and my cold blood I am of your humor<br>for that. I had rather hear my dog bark at a crow<br>than a man swear he loves me.
BEATRICE	1	1	134	135	2	14	Scratching could not make it worse an<br>’twere such a face as yours were.
BEATRICE	1	1	137	138	2	12	A bird of my tongue is better than a beast of<br>yours.
BEATRICE	1	1	142	143	2	12	You always end with a jade’s trick. I know<br>you of old.
BEATRICE	1	1	30	31	2	12	I pray you, is Signior Mountanto returned<br>from the wars or no?
BEATRICE	1	1	38	44	7	59	He set up his bills here in Messina and<br>challenged Cupid at the flight, and my uncle’s Fool,<br>reading the challenge, subscribed for Cupid and<br>challenged him at the bird-bolt. I pray you, how<br>many hath he killed and eaten in these wars? But<br>how many hath he killed? For indeed I promised to<br>eat all of his killing.
BEATRICE	1	1	49	51	3	22	You had musty victual, and he hath holp to<br>eat it. He is a very valiant trencherman; he hath an<br>excellent stomach.
BEATRICE	1	1	53	54	2	14	And a good soldier to a lady, but what is he<br>to a lord?
BEATRICE	1	1	57	58	2	21	It is so indeed. He is no less than a stuffed<br>man, but for the stuffing—well, we are all mortal.
BEATRICE	1	1	63	71	9	79	Alas, he gets nothing by that. In our last<br>conflict, four of his five wits went halting off, and<br>now is the whole man governed with one, so that if<br>he have wit enough to keep himself warm, let him<br>bear it for a difference between himself and his<br>horse, for it is all the wealth that he hath left to<br>be known a reasonable creature. Who is his companion<br>now? He hath every month a new sworn<br>brother.
BEATRICE	1	1	73	75	3	21	Very easily possible. He wears his faith but<br>as the fashion of his hat; it ever changes with the<br>next block.
BEATRICE	1	1	78	81	4	33	No. An he were, I would burn my study. But<br>I pray you, who is his companion? Is there no<br>young squarer now that will make a voyage with<br>him to the devil?
BEATRICE	1	1	84	88	5	45	O Lord, he will hang upon him like a<br>disease! He is sooner caught than the pestilence,<br>and the taker runs presently mad. God help the<br>noble Claudio! If he have caught the Benedick, it<br>will cost him a thousand pound ere he be cured.
BEATRICE	1	1	90	90	1	3	Do, good friend.
BEATRICE	1	1	92	92	1	6	No, not till a hot January.
BEATRICE	2	1	426	427	2	17	How tartly that gentleman looks! I never<br>can see him but I am heartburned an hour after.
