character	act	scene	fromline	toline	lines	words	text
BIANCA-OTH	3	4	2339	2339	1	4	’Save you, friend Cassio!
BIANCA-OTH	3	4	2344	2348	5	34	And I was going to your lodging, Cassio.<br>What, keep a week away? Seven days and nights,<br>Eightscore eight hours, and lovers’ absent hours<br>More tedious than the dial eightscore times?<br>O weary reck’ning!
BIANCA-OTH	3	4	2354	2357	4	29	O, Cassio, whence came this?<br>This is some token from a newer friend.<br>To the felt absence now I feel a cause.<br>Is ’t come to this? Well, well.
BIANCA-OTH	3	4	2364	2364	1	4	Why, whose is it?
BIANCA-OTH	3	4	2369	2369	1	3	Leave you? Wherefore?
BIANCA-OTH	3	4	2373	2373	1	4	Why, I pray you?
BIANCA-OTH	3	4	2375	2377	3	27	But that you do not love me!<br>I pray you bring me on the way a little,<br>And say if I shall see you soon at night.
BIANCA-OTH	3	4	2380	2380	1	7	’Tis very good. I must be circumstanced.
BIANCA-OTH	4	1	2547	2554	8	83	Let the devil and his dam haunt you! What did<br>you mean by that same handkerchief you gave me<br>even now? I was a fine fool to take it! I must take<br>out the work? A likely piece of work, that you<br>should find it in your chamber and know not who<br>left it there! This is some minx’s token, and I must<br>take out the work! There, give it your hobbyhorse.<br>Wheresoever you had it, I’ll take out no work on ’t.
BIANCA-OTH	4	1	2557	2559	3	19	If you’ll come to supper tonight you may. If<br>you will not, come when you are next prepared<br>for.
BIANCA-OTH	5	1	3183	3183	1	10	What is the matter, ho? Who is ’t that cried?
BIANCA-OTH	5	1	3185	3186	2	11	O, my dear Cassio,<br>My sweet Cassio! O Cassio, Cassio, Cassio!
BIANCA-OTH	5	1	3193	3193	1	7	Alas, he faints. O, Cassio, Cassio, Cassio!
BIANCA-OTH	5	1	3235	3235	1	10	He supped at my house, but I therefore shake not.
BIANCA-OTH	5	1	3238	3239	2	15	I am no strumpet, but of life as honest<br>As you that thus abuse me.
BRABANTIO	1	1	102	102	1	6	What, have you lost your wits?
BRABANTIO	1	1	104	104	1	5	Not I. What are you?
BRABANTIO	1	1	106	112	7	48	The worser welcome.<br>I have charged thee not to haunt about my doors.<br>In honest plainness thou hast heard me say<br>My daughter is not for thee. And now in madness,<br>Being full of supper and distemp’ring draughts,<br>Upon malicious bravery dost thou come<br>To start my quiet.
BRABANTIO	1	1	114	116	3	21	But thou must needs be sure<br>My spirit and my place have in them power<br>To make this bitter to thee.
BRABANTIO	1	1	118	119	2	15	What tell’st thou me of robbing?<br>This is Venice. My house is not a grange.
BRABANTIO	1	1	128	128	1	5	What profane wretch art thou?
BRABANTIO	1	1	132	132	1	4	Thou art a villain.
