character	act	scene	fromline	toline	lines	words	text
ABRAM	1	1	59	59	1	8	Do you bite your thumb at us, sir?
ABRAM	1	1	61	61	1	8	Do you bite your thumb at us, sir?
ABRAM	1	1	68	68	1	4	Quarrel, sir? No, sir.
ABRAM	1	1	71	71	1	2	No better.
ABRAM	1	1	76	76	1	2	You lie.
APOTHECARY	5	1	2793	2793	1	4	Who calls so loud?
APOTHECARY	5	1	2802	2803	2	16	Such mortal drugs I have, but Mantua’s law<br>Is death to any he that utters them.
APOTHECARY	5	1	2811	2811	1	7	My poverty, but not my will, consents.
APOTHECARY	5	1	2813	2815	3	26	Put this in any liquid thing you will<br>And drink it off, and if you had the strength<br>Of twenty men, it would dispatch you straight.
BALTHASAR-ROM	5	1	2750	2756	7	56	Then she is well and nothing can be ill.<br>Her body sleeps in Capels’ monument,<br>And her immortal part with angels lives.<br>I saw her laid low in her kindred’s vault<br>And presently took post to tell it you.<br>O, pardon me for bringing these ill news,<br>Since you did leave it for my office, sir.
BALTHASAR-ROM	5	1	2760	2762	3	18	I do beseech you, sir, have patience.<br>Your looks are pale and wild and do import<br>Some misadventure.
BALTHASAR-ROM	5	1	2766	2766	1	4	No, my good lord.
BALTHASAR-ROM	5	3	2893	2893	1	9	I will be gone, sir, and not trouble you.
BALTHASAR-ROM	5	3	2896	2897	2	17	For all this same, I’ll hide me hereabout.<br>His looks I fear, and his intents I doubt.
BALTHASAR-ROM	5	3	2976	2976	1	10	Here’s one, a friend, and one that knows you well.
BALTHASAR-ROM	5	3	2981	2982	2	13	It doth so, holy sir, and there’s my master,<br>One that you love.
BALTHASAR-ROM	5	3	2984	2984	1	1	Romeo.
BALTHASAR-ROM	5	3	2986	2986	1	4	Full half an hour.
BALTHASAR-ROM	5	3	2988	2991	4	29	I dare not, sir.<br>My master knows not but I am gone hence,<br>And fearfully did menace me with death<br>If I did stay to look on his intents.
BALTHASAR-ROM	5	3	2994	2996	3	22	As I did sleep under this yew tree here,<br>I dreamt my master and another fought,<br>And that my master slew him.
BALTHASAR-ROM	5	3	3134	3139	6	50	I brought my master news of Juliet’s death,<br>And then in post he came from Mantua<br>To this same place, to this same monument.<br>This letter he early bid me give his father<br>And threatened me with death, going in the vault,<br>If I departed not and left him there.
BENVOLIO	1	1	122	131	10	81	Here were the servants of your adversary,<br>And yours, close fighting ere I did approach.<br>I drew to part them. In the instant came<br>The fiery Tybalt with his sword prepared,<br>Which, as he breathed defiance to my ears,<br>He swung about his head and cut the winds,<br>Who, nothing hurt withal, hissed him in scorn.<br>While we were interchanging thrusts and blows<br>Came more and more and fought on part and part,<br>Till the Prince came, who parted either part.
BENVOLIO	1	1	134	147	14	101	Madam, an hour before the worshiped sun<br>Peered forth the golden window of the east,<br>A troubled mind drove me to walk abroad,<br>Where underneath the grove of sycamore<br>That westward rooteth from this city side,<br>So early walking did I see your son.<br>Towards him I made, but he was ’ware of me<br>And stole into the covert of the wood.<br>I, measuring his affections by my own<br>(Which then most sought where most might not be<br>found,<br>Being one too many by my weary self),<br>Pursued my humor, not pursuing his,<br>And gladly shunned who gladly fled from me.
BENVOLIO	1	1	160	160	1	8	My noble uncle, do you know the cause?
BENVOLIO	1	1	162	162	1	7	Have you importuned him by any means?
BENVOLIO	1	1	173	174	2	17	See where he comes. So please you, step aside.<br>I’ll know his grievance or be much denied.
BENVOLIO	1	1	177	177	1	3	Good morrow, cousin.
BENVOLIO	1	1	179	179	1	4	But new struck nine.
BENVOLIO	1	1	182	182	1	7	It was. What sadness lengthens Romeo’s hours?
BENVOLIO	1	1	184	184	1	2	In love?
BENVOLIO	1	1	186	186	1	2	Of love?
BENVOLIO	1	1	188	189	2	16	Alas that love, so gentle in his view,<br>Should be so tyrannous and rough in proof!
BENVOLIO	1	1	203	203	1	5	No, coz, I rather weep.
BENVOLIO	1	1	205	205	1	5	At thy good heart’s oppression.
BENVOLIO	1	1	217	218	2	15	Soft, I will go along.<br>An if you leave me so, you do me wrong.
BENVOLIO	1	1	221	221	1	9	Tell me in sadness, who is that you love?
BENVOLIO	1	1	223	223	1	8	Groan? Why, no. But sadly tell me who.
BENVOLIO	1	1	227	227	1	9	I aimed so near when I supposed you loved.
BENVOLIO	1	1	229	229	1	9	A right fair mark, fair coz, is soonest hit.
BENVOLIO	1	1	239	239	1	10	Then she hath sworn that she will still live chaste?
BENVOLIO	1	1	247	247	1	9	Be ruled by me. Forget to think of her.
BENVOLIO	1	1	249	250	2	9	By giving liberty unto thine eyes.<br>Examine other beauties.
BENVOLIO	1	1	261	261	1	9	I’ll pay that doctrine or else die in debt.
BENVOLIO	1	1	79	80	2	15	Part, fools!<br>Put up your swords. You know not what you do.
BENVOLIO	1	1	83	84	2	19	I do but keep the peace. Put up thy sword,<br>Or manage it to part these men with me.
BENVOLIO	1	2	308	313	6	47	Tut, man, one fire burns out another’s burning;<br>One pain is lessened by another’s anguish.<br>Turn giddy, and be helped by backward turning.<br>One desperate grief cures with another’s languish.<br>Take thou some new infection to thy eye,<br>And the rank poison of the old will die.
BENVOLIO	1	2	315	315	1	5	For what, I pray thee?
BENVOLIO	1	2	317	317	1	5	Why Romeo, art thou mad?
BENVOLIO	1	2	350	355	6	47	At this same ancient feast of Capulet’s<br>Sups the fair Rosaline whom thou so loves,<br>With all the admirèd beauties of Verona.<br>Go thither, and with unattainted eye<br>Compare her face with some that I shall show,<br>And I will make thee think thy swan a crow.
BENVOLIO	1	2	362	367	6	51	Tut, you saw her fair, none else being by,<br>Herself poised with herself in either eye;<br>But in that crystal scales let there be weighed<br>Your lady’s love against some other maid<br>That I will show you shining at this feast,<br>And she shall scant show well that now seems best.
BENVOLIO	1	4	485	492	8	57	The date is out of such prolixity.<br>We’ll have no Cupid hoodwinked with a scarf,<br>Bearing a Tartar’s painted bow of lath,<br>Scaring the ladies like a crowkeeper,<br>Nor no without-book prologue, faintly spoke<br>After the prompter, for our entrance.<br>But let them measure us by what they will.<br>We’ll measure them a measure and be gone.
BENVOLIO	1	4	515	516	2	16	Come, knock and enter, and no sooner in<br>But every man betake him to his legs.
BENVOLIO	1	4	593	594	2	18	This wind you talk of blows us from ourselves.<br>Supper is done, and we shall come too late.
BENVOLIO	1	4	603	603	1	2	Strike, drum.
BENVOLIO	1	5	736	736	1	8	Away, begone. The sport is at the best.
BENVOLIO	2	1	780	780	1	5	Romeo, my cousin Romeo, Romeo!
BENVOLIO	2	1	783	784	2	12	He ran this way and leapt this orchard wall.<br>Call, good Mercutio.
BENVOLIO	2	1	802	802	1	9	An if he hear thee, thou wilt anger him.
BENVOLIO	2	1	810	812	3	24	Come, he hath hid himself among these trees<br>To be consorted with the humorous night.<br>Blind is his love and best befits the dark.
BENVOLIO	2	1	822	823	2	16	Go, then, for ’tis in vain<br>To seek him here that means not to be found.
BENVOLIO	2	4	1132	1132	1	9	Not to his father’s. I spoke with his man.
BENVOLIO	2	4	1136	1137	2	14	Tybalt, the kinsman to old Capulet,<br>Hath sent a letter to his father’s house.
BENVOLIO	2	4	1139	1139	1	4	Romeo will answer it.
BENVOLIO	2	4	1141	1142	2	12	Nay, he will answer the letter’s master, how<br>he dares, being dared.
BENVOLIO	2	4	1148	1148	1	4	Why, what is Tybalt?
BENVOLIO	2	4	1157	1157	1	2	The what?
BENVOLIO	2	4	1167	1167	1	6	Here comes Romeo, here comes Romeo.
BENVOLIO	2	4	1225	1225	1	4	Stop there, stop there.
BENVOLIO	2	4	1228	1228	1	8	Thou wouldst else have made thy tale large.
BENVOLIO	2	4	1260	1260	1	7	She will indite him to some supper.
BENVOLIO	3	1	1469	1472	4	35	I pray thee, good Mercutio, let’s retire.<br>The day is hot, the Capels are abroad,<br>And if we meet we shall not ’scape a brawl,<br>For now, these hot days, is the mad blood stirring.
BENVOLIO	3	1	1479	1479	1	6	Am I like such a fellow?
BENVOLIO	3	1	1483	1483	1	3	And what to?
BENVOLIO	3	1	1500	1502	3	26	An I were so apt to quarrel as thou art, any<br>man should buy the fee simple of my life for an<br>hour and a quarter.
BENVOLIO	3	1	1504	1504	1	7	By my head, here comes the Capulets.
BENVOLIO	3	1	1519	1522	4	30	We talk here in the public haunt of men.<br>Either withdraw unto some private place,<br>Or reason coldly of your grievances,<br>Or else depart. Here all eyes gaze on us.
BENVOLIO	3	1	1564	1564	1	4	What, art thou hurt?
BENVOLIO	3	1	1589	1591	3	22	O Romeo, Romeo, brave Mercutio is dead.<br>That gallant spirit hath aspired the clouds,<br>Which too untimely here did scorn the earth.
BENVOLIO	3	1	1594	1594	1	7	Here comes the furious Tybalt back again.
BENVOLIO	3	1	1606	1609	4	27	Romeo, away, begone!<br>The citizens are up, and Tybalt slain.<br>Stand not amazed. The Prince will doom thee death<br>If thou art taken. Hence, be gone, away.
BENVOLIO	3	1	1611	1611	1	4	Why dost thou stay?
BENVOLIO	3	1	1614	1614	1	4	There lies that Tybalt.
BENVOLIO	3	1	1618	1621	4	28	O noble prince, I can discover all<br>The unlucky manage of this fatal brawl.<br>There lies the man, slain by young Romeo,<br>That slew thy kinsman, brave Mercutio.
BENVOLIO	3	1	1628	1652	25	189	Tybalt, here slain, whom Romeo’s hand did slay—<br>Romeo, that spoke him fair, bid him bethink<br>How nice the quarrel was, and urged withal<br>Your high displeasure. All this utterèd<br>With gentle breath, calm look, knees humbly bowed<br>Could not take truce with the unruly spleen<br>Of Tybalt, deaf to peace, but that he tilts<br>With piercing steel at bold Mercutio’s breast,<br>Who, all as hot, turns deadly point to point<br>And, with a martial scorn, with one hand beats<br>Cold death aside and with the other sends<br>It back to Tybalt, whose dexterity<br>Retorts it. Romeo he cries aloud<br><span class="quote" data-words="4">Hold, friends! Friends, part!</span> and swifter than his<br>tongue<br>His agile arm beats down their fatal points,<br>And ’twixt them rushes; underneath whose arm<br>An envious thrust from Tybalt hit the life<br>Of stout Mercutio, and then Tybalt fled.<br>But by and by comes back to Romeo,<br>Who had but newly entertained revenge,<br>And to ’t they go like lightning, for ere I<br>Could draw to part them was stout Tybalt slain,<br>And, as he fell, did Romeo turn and fly.<br>This is the truth, or let Benvolio die.
CAPULET	1	1	90	90	1	10	What noise is this? Give me my long sword, ho!
CAPULET	1	1	93	94	2	16	My sword, I say. Old Montague is come<br>And flourishes his blade in spite of me.
CAPULET	1	2	262	264	3	27	But Montague is bound as well as I,<br>In penalty alike, and ’tis not hard, I think,<br>For men so old as we to keep the peace.
CAPULET	1	2	268	272	5	44	But saying o’er what I have said before.<br>My child is yet a stranger in the world.<br>She hath not seen the change of fourteen years.<br>Let two more summers wither in their pride<br>Ere we may think her ripe to be a bride.
CAPULET	1	2	274	299	26	205	And too soon marred are those so early made.<br>Earth hath swallowed all my hopes but she;<br>She’s the hopeful lady of my earth.<br>But woo her, gentle Paris, get her heart;<br>My will to her consent is but a part.<br>And, she agreed, within her scope of choice<br>Lies my consent and fair according voice.<br>This night I hold an old accustomed feast,<br>Whereto I have invited many a guest<br>Such as I love; and you among the store,<br>One more, most welcome, makes my number more.<br>At my poor house look to behold this night<br>Earth-treading stars that make dark heaven light.<br>Such comfort as do lusty young men feel<br>When well-appareled April on the heel<br>Of limping winter treads, even such delight<br>Among fresh fennel buds shall you this night<br>Inherit at my house. Hear all, all see,<br>And like her most whose merit most shall be;<br>Which, on more view of many, mine, being one,<br>May stand in number, though in reck’ning none.<br>Come go with me.<br>Go, sirrah, trudge about<br>Through fair Verona, find those persons out<br>Whose names are written there, and to them say<br>My house and welcome on their pleasure stay.
CAPULET	1	5	621	641	21	155	Welcome, gentlemen. Ladies that have their toes<br>Unplagued with corns will walk a bout with<br>you.—<br>Ah, my mistresses, which of you all<br>Will now deny to dance? She that makes dainty,<br>She, I’ll swear, hath corns. Am I come near you<br>now?—<br>Welcome, gentlemen. I have seen the day<br>That I have worn a visor and could tell<br>A whispering tale in a fair lady’s ear,<br>Such as would please. ’Tis gone, ’tis gone, ’tis gone.<br>You are welcome, gentlemen.—Come, musicians,<br>play.<br>A hall, a hall, give room!—And foot it, girls.—<br>More light, you knaves, and turn the tables up,<br>And quench the fire; the room is grown too hot.—<br>Ah, sirrah, this unlooked-for sport comes well.—<br>Nay, sit, nay, sit, good cousin Capulet,<br>For you and I are past our dancing days.<br>How long is ’t now since last yourself and I<br>Were in a mask?
CAPULET	1	5	642	642	1	5	By ’r Lady, thirty years.
CAPULET	1	5	643	646	4	32	What, man, ’tis not so much, ’tis not so much.<br>’Tis since the nuptial of Lucentio,<br>Come Pentecost as quickly as it will,<br>Some five and twenty years, and then we masked.
CAPULET	1	5	647	648	2	13	’Tis more, ’tis more. His son is elder, sir.<br>His son is thirty.
CAPULET	1	5	649	650	2	14	Will you tell me that?<br>His son was but a ward two years ago.
CAPULET	1	5	671	671	1	8	Why, how now, kinsman? Wherefore storm you so?
CAPULET	1	5	675	675	1	4	Young Romeo is it?
CAPULET	1	5	677	686	10	78	Content thee, gentle coz. Let him alone.<br>He bears him like a portly gentleman,<br>And, to say truth, Verona brags of him<br>To be a virtuous and well-governed youth.<br>I would not for the wealth of all this town<br>Here in my house do him disparagement.<br>Therefore be patient. Take no note of him.<br>It is my will, the which if thou respect,<br>Show a fair presence and put off these frowns,<br>An ill-beseeming semblance for a feast.
CAPULET	1	5	689	694	6	46	He shall be endured.<br>What, goodman boy? I say he shall. Go to.<br>Am I the master here or you? Go to.<br>You’ll not endure him! God shall mend my soul,<br>You’ll make a mutiny among my guests,<br>You will set cock-a-hoop, you’ll be the man!
CAPULET	1	5	696	702	7	56	Go to, go to.<br>You are a saucy boy. Is ’t so indeed?<br>This trick may chance to scathe you. I know what.<br>You must contrary me. Marry, ’tis time—<br>Well said, my hearts.—You are a princox, go.<br>Be quiet, or—More light, more light!—for shame,<br>I’ll make you quiet.—What, cheerly, my hearts!
CAPULET	1	5	738	744	7	52	Nay, gentlemen, prepare not to be gone.<br>We have a trifling foolish banquet towards.—<br>Is it e’en so? Why then, I thank you all.<br>I thank you, honest gentlemen. Good night.—<br>More torches here.—Come on then, let’s to bed.—<br>Ah, sirrah, by my fay, it waxes late.<br>I’ll to my rest.
CAPULET	3	4	2019	2025	7	58	Things have fallen out, sir, so unluckily<br>That we have had no time to move our daughter.<br>Look you, she loved her kinsman Tybalt dearly,<br>And so did I. Well, we were born to die.<br>’Tis very late. She’ll not come down tonight.<br>I promise you, but for your company,<br>I would have been abed an hour ago.
CAPULET	3	4	2031	2038	8	62	Sir Paris, I will make a desperate tender<br>Of my child’s love. I think she will be ruled<br>In all respects by me. Nay, more, I doubt it not.—<br>Wife, go you to her ere you go to bed.<br>Acquaint her here of my son Paris’ love,<br>And bid her—mark you me?—on Wednesday<br>next—<br>But soft, what day is this?
CAPULET	3	4	2040	2049	10	84	Monday, ha ha! Well, Wednesday is too soon.<br>O’ Thursday let it be.—O’ Thursday, tell her,<br>She shall be married to this noble earl.—<br>Will you be ready? Do you like this haste?<br>We’ll keep no great ado: a friend or two.<br>For hark you, Tybalt being slain so late,<br>It may be thought we held him carelessly,<br>Being our kinsman, if we revel much.<br>Therefore we’ll have some half a dozen friends,<br>And there an end. But what say you to Thursday?
CAPULET	3	4	2051	2056	6	54	Well, get you gone. O’ Thursday be it, then.<br>Go you to Juliet ere you go to bed.<br>Prepare her, wife, against this wedding day.—<br>Farewell, my lord.—Light to my chamber, ho!—<br>Afore me, it is so very late that we<br>May call it early by and by.—Good night.
CAPULET	3	5	2187	2199	13	101	When the sun sets, the earth doth drizzle dew,<br>But for the sunset of my brother’s son<br>It rains downright.<br>How now, a conduit, girl? What, still in tears?<br>Evermore show’ring? In one little body<br>Thou counterfeits a bark, a sea, a wind.<br>For still thy eyes, which I may call the sea,<br>Do ebb and flow with tears; the bark thy body is,<br>Sailing in this salt flood; the winds thy sighs,<br>Who, raging with thy tears and they with them,<br>Without a sudden calm, will overset<br>Thy tempest-tossèd body.—How now, wife?<br>Have you delivered to her our decree?
CAPULET	3	5	2202	2206	5	46	Soft, take me with you, take me with you, wife.<br>How, will she none? Doth she not give us thanks?<br>Is she not proud? Doth she not count her blessed,<br>Unworthy as she is, that we have wrought<br>So worthy a gentleman to be her bride?
CAPULET	3	5	2210	2218	9	70	How, how, how, how? Chopped logic? What is this?<br><span class="quote" data-words="1">Proud,</span> and <span class="quote" data-words="3">I thank you,</span> and <span class="quote" data-words="4">I thank you not,</span><br>And yet <span class="quote" data-words="2">not proud</span>? Mistress minion you,<br>Thank me no thankings, nor proud me no prouds,<br>But fettle your fine joints ’gainst Thursday next<br>To go with Paris to Saint Peter’s Church,<br>Or I will drag thee on a hurdle thither.<br>Out, you green-sickness carrion! Out, you baggage!<br>You tallow face!
CAPULET	3	5	2222	2231	10	73	Hang thee, young baggage, disobedient wretch!<br>I tell thee what: get thee to church o’ Thursday,<br>Or never after look me in the face.<br>Speak not; reply not; do not answer me.<br>My fingers itch.—Wife, we scarce thought us<br>blessed<br>That God had lent us but this only child,<br>But now I see this one is one too much,<br>And that we have a curse in having her.<br>Out on her, hilding.
CAPULET	3	5	2234	2235	2	15	And why, my Lady Wisdom? Hold your tongue.<br>Good Prudence, smatter with your gossips, go.
CAPULET	3	5	2237	2237	1	5	O, God ’i’ g’ eden!
CAPULET	3	5	2239	2241	3	17	Peace, you mumbling fool!<br>Utter your gravity o’er a gossip’s bowl,<br>For here we need it not.
CAPULET	3	5	2243	2262	21	174	God’s bread, it makes me mad.<br>Day, night, hour, tide, time, work, play,<br>Alone, in company, still my care hath been<br>To have her matched. And having now provided<br>A gentleman of noble parentage,<br>Of fair demesnes, youthful, and nobly ligned,<br>Stuffed, as they say, with honorable parts,<br>Proportioned as one’s thought would wish a man—<br>And then to have a wretched puling fool,<br>A whining mammet, in her fortune’s tender,<br>To answer <span class="quote" data-words="15">I’ll not wed. I cannot love.I am too young. I pray you, pardon me.</span><br>But, an you will not wed, I’ll pardon you!<br>Graze where you will, you shall not house with me.<br>Look to ’t; think on ’t. I do not use to jest.<br>Thursday is near. Lay hand on heart; advise.<br>An you be mine, I’ll give you to my friend.<br>An you be not, hang, beg, starve, die in the streets,<br>For, by my soul, I’ll ne’er acknowledge thee,<br>Nor what is mine shall never do thee good.<br>Trust to ’t; bethink you. I’ll not be forsworn.
CAPULET	4	2	2441	2442	2	25	So many guests invite as here are writ.<br>Sirrah, go hire me twenty cunning cooks.
CAPULET	4	2	2445	2445	1	6	How canst thou try them so?
CAPULET	4	2	2449	2451	3	20	Go, begone.<br>We shall be much unfurnished for this time.—<br>What, is my daughter gone to Friar Lawrence?
CAPULET	4	2	2453	2454	2	16	Well, he may chance to do some good on her.<br>A peevish self-willed harlotry it is.
CAPULET	4	2	2456	2457	2	9	How now, my headstrong, where have you been<br>gadding?
CAPULET	4	2	2464	2465	2	17	Send for the County. Go tell him of this.<br>I’ll have this knot knit up tomorrow morning.
CAPULET	4	2	2469	2473	5	49	Why, I am glad on ’t. This is well. Stand up.<br>This is as ’t should be.—Let me see the County.<br>Ay, marry, go, I say, and fetch him hither.—<br>Now, afore God, this reverend holy friar,<br>All our whole city is much bound to him.
CAPULET	4	2	2478	2478	1	9	Go, nurse. Go with her. We’ll to church tomorrow.
CAPULET	4	2	2481	2489	9	72	Tush, I will stir about,<br>And all things shall be well, I warrant thee, wife.<br>Go thou to Juliet. Help to deck up her.<br>I’ll not to bed tonight. Let me alone.<br>I’ll play the housewife for this once.—What ho!—<br>They are all forth. Well, I will walk myself<br>To County Paris, to prepare up him<br>Against tomorrow. My heart is wondrous light<br>Since this same wayward girl is so reclaimed.
CAPULET	4	4	2552	2555	4	28	Come, stir, stir, stir! The second cock hath crowed.<br>The curfew bell hath rung. ’Tis three o’clock.—<br>Look to the baked meats, good Angelica.<br>Spare not for cost.
CAPULET	4	4	2559	2560	2	19	No, not a whit. What, I have watched ere now<br>All night for lesser cause, and ne’er been sick.
CAPULET	4	4	2563	2565	3	22	A jealous hood, a jealous hood!<br>Now fellow,<br>What is there?
CAPULET	4	4	2567	2569	3	20	Make haste, make haste.<br>Sirrah, fetch drier logs.<br>Call Peter. He will show thee where they are.
CAPULET	4	4	2572	2581	10	78	Mass, and well said. A merry whoreson, ha!<br>Thou shalt be loggerhead.<br>Good faith, ’tis day.<br>The County will be here with music straight,<br>For so he said he would. I hear him near.—<br>Nurse!—Wife! What ho!—What, nurse, I say!<br>Go waken Juliet. Go and trim her up.<br>I’ll go and chat with Paris. Hie, make haste,<br>Make haste. The bridegroom he is come already.<br>Make haste, I say.
CAPULET	4	5	2608	2608	1	9	For shame, bring Juliet forth. Her lord is come.
CAPULET	4	5	2611	2615	5	42	Ha, let me see her! Out, alas, she’s cold.<br>Her blood is settled, and her joints are stiff.<br>Life and these lips have long been separated.<br>Death lies on her like an untimely frost<br>Upon the sweetest flower of all the field.
CAPULET	4	5	2618	2619	2	20	Death, that hath ta’en her hence to make me wail,<br>Ties up my tongue and will not let me speak.
CAPULET	4	5	2621	2627	7	56	Ready to go, but never to return.—<br>O son, the night before thy wedding day<br>Hath Death lain with thy wife. There she lies,<br>Flower as she was, deflowerèd by him.<br>Death is my son-in-law; Death is my heir.<br>My daughter he hath wedded. I will die<br>And leave him all. Life, living, all is Death’s.
CAPULET	4	5	2646	2651	6	42	Despised, distressèd, hated, martyred, killed!<br>Uncomfortable time, why cam’st thou now<br>To murder, murder our solemnity?<br>O child! O child! My soul and not my child!<br>Dead art thou! Alack, my child is dead,<br>And with my child my joys are burièd.
CAPULET	4	5	2671	2677	7	49	All things that we ordainèd festival<br>Turn from their office to black funeral:<br>Our instruments to melancholy bells,<br>Our wedding cheer to a sad burial feast,<br>Our solemn hymns to sullen dirges change,<br>Our bridal flowers serve for a buried corse,<br>And all things change them to the contrary.
CAPULET	5	3	3050	3050	1	9	What should it be that is so shrieked abroad?
CAPULET	5	3	3063	3066	4	31	O heavens! O wife, look how our daughter bleeds!<br>This dagger hath mista’en, for, lo, his house<br>Is empty on the back of Montague,<br>And it mis-sheathèd in my daughter’s bosom.
CAPULET	5	3	3159	3161	3	18	O brother Montague, give me thy hand.<br>This is my daughter’s jointure, for no more<br>Can I demand.
CAPULET	5	3	3167	3168	2	13	As rich shall Romeo’s by his lady’s lie,<br>Poor sacrifices of our enmity.
CAPULETS_COUSIN	1	5	642	642	1	5	By ’r Lady, thirty years.
CAPULETS_COUSIN	1	5	647	648	2	13	’Tis more, ’tis more. His son is elder, sir.<br>His son is thirty.
