character	act	scene	fromline	toline	lines	words	text
BIANCA-SHR	1	1	372	375	4	29	Sister, content you in my discontent.—<br>Sir, to your pleasure humbly I subscribe.<br>My books and instruments shall be my company,<br>On them to look and practice by myself.
BIANCA-SHR	2	1	844	850	7	58	Good sister, wrong me not, nor wrong yourself,<br>To make a bondmaid and a slave of me.<br>That I disdain. But for these other goods—<br>Unbind my hands, I’ll pull them off myself,<br>Yea, all my raiment to my petticoat,<br>Or what you will command me will I do,<br>So well I know my duty to my elders.
BIANCA-SHR	2	1	853	855	3	23	Believe me, sister, of all the men alive<br>I never yet beheld that special face<br>Which I could fancy more than any other.
BIANCA-SHR	2	1	857	858	2	18	If you affect him, sister, here I swear<br>I’ll plead for you myself, but you shall have him.
BIANCA-SHR	2	1	861	864	4	34	Is it for him you do envy me so?<br>Nay, then, you jest, and now I well perceive<br>You have but jested with me all this while.<br>I prithee, sister Kate, untie my hands.
BIANCA-SHR	3	1	1294	1302	9	70	Why, gentlemen, you do me double wrong<br>To strive for that which resteth in my choice.<br>I am no breeching scholar in the schools.<br>I’ll not be tied to hours, nor ’pointed times,<br>But learn my lessons as I please myself.<br>And, to cut off all strife, here sit we down.<br>Take you your instrument, play you<br>the whiles;<br>His lecture will be done ere you have tuned.
BIANCA-SHR	3	1	1306	1306	1	4	Where left we last?
BIANCA-SHR	3	1	1310	1310	1	2	Conster them.
BIANCA-SHR	3	1	1319	1319	1	9	Let’s hear. Oh fie, the treble jars!
BIANCA-SHR	3	1	1322	1324	4	40	Now let me see if I can conster it. <span class="foreign" data-words="3" data-lang="la">Hic ibatSimois</span>, I know you not; <span class="foreign" data-words="4" data-lang="la">hic est Sigeia tellus</span>, I trust<br>you not; <span class="foreign" data-words="3" data-lang="la">Hic steterat Priami</span>, take heed he hear us<br>not; <span class="foreign" data-words="1" data-lang="la">regia</span>, presume not; <span class="foreign" data-words="2" data-lang="la">celsa senis</span>, despair not.
BIANCA-SHR	3	1	1332	1332	1	8	In time I may believe, yet I mistrust.
BIANCA-SHR	3	1	1335	1339	5	41	I must believe my master; else, I promise you,<br>I should be arguing still upon that doubt.<br>But let it rest.—Now, Litio, to you.<br>Good master, take it not unkindly, pray,<br>That I have been thus pleasant with you both.
BIANCA-SHR	3	1	1352	1352	1	8	Why, I am past my gamut long ago.
BIANCA-SHR	3	1	1354	1357	9	73	<span class="quote" data-words="47"><span class="foreign" data-words="1" data-lang="">Gamut</span> I am, the ground of all accord:A <span class="foreign" data-words="1" data-lang="">re</span>, to plead Hortensio’s passion;<br>B <span class="foreign" data-words="1" data-lang="">mi</span>, Bianca, take him for thy lord,<br>C <span class="foreign" data-words="2" data-lang="">fa ut</span>, that loves with all affection;<br>D <span class="foreign" data-words="2" data-lang="">sol re</span>, one clef, two notes have I;<br>E <span class="foreign" data-words="2" data-lang="">la mi</span>, show pity or I die.</span><br>Call you this <span class="quote" data-words="1">gamut</span>? Tut, I like it not.<br>Old fashions please me best. I am not so nice<br>To change true rules for odd inventions.
BIANCA-SHR	3	1	1366	1366	1	8	Farewell, sweet masters both. I must be gone.
BIANCA-SHR	3	2	1624	1624	1	7	That being mad herself, she’s madly mated.
BIANCA-SHR	4	2	1852	1852	1	8	What, master, read you? First resolve me that.
BIANCA-SHR	4	2	1854	1854	1	9	And may you prove, sir, master of your art.
BIANCA-SHR	4	2	1893	1893	1	9	Tranio, you jest. But have you both forsworn me?
BIANCA-SHR	4	2	1898	1898	1	4	God give him joy.
