character	act	scene	fromline	toline	lines	words	text
ADRIAN-TMP	2	1	721	721	1	7	Though this island seem to be desert—
ADRIAN-TMP	2	1	724	724	1	4	Uninhabitable and almost inaccessible—
ADRIAN-TMP	2	1	726	726	1	1	Yet—
ADRIAN-TMP	2	1	728	729	2	10	It must needs be of subtle, tender, and delicate<br>temperance.
ADRIAN-TMP	2	1	733	733	1	8	The air breathes upon us here most sweetly.
ADRIAN-TMP	2	1	761	762	2	12	Tunis was never graced before with such a<br>paragon to their queen.
ADRIAN-TMP	2	1	768	770	3	17	<span class="quote" data-words="2">Widow Dido,</span> said you? You<br>make me study of that. She was of Carthage, not of<br>Tunis.
ADRIAN-TMP	2	1	772	772	1	1	Carthage?
ADRIAN-TMP	3	3	1669	1669	1	4	Follow, I pray you.
ALONSO	1	1	9	10	2	10	Good boatswain, have care. Where’s the Master?<br>Play the men.
ALONSO	2	1	1037	1038	2	13	Why, how now, ho! Awake? Why are you drawn?<br>Wherefore this ghastly looking?
ALONSO	2	1	1044	1044	1	3	I heard nothing.
ALONSO	2	1	1048	1048	1	4	Heard you this, Gonzalo?
ALONSO	2	1	1055	1056	2	13	Lead off this ground, and let’s make further search<br>For my poor son.
ALONSO	2	1	1059	1059	1	2	Lead away.
ALONSO	2	1	694	694	1	2	Prithee, peace.
ALONSO	2	1	711	711	1	3	I prithee, spare.
ALONSO	2	1	796	803	8	65	You cram these words into mine ears against<br>The stomach of my sense. Would I had never<br>Married my daughter there, for coming thence<br>My son is lost, and, in my rate, she too,<br>Who is so far from Italy removed<br>I ne’er again shall see her.—O, thou mine heir<br>Of Naples and of Milan, what strange fish<br>Hath made his meal on thee?
ALONSO	2	1	814	814	1	4	No, no, he’s gone.
ALONSO	2	1	820	820	1	2	Prithee, peace.
ALONSO	2	1	830	830	1	7	So is the dear’st o’ th’ loss.
ALONSO	2	1	872	872	1	9	Prithee, no more. Thou dost talk nothing to me.
ALONSO	2	1	892	894	3	24	What, all so soon asleep? I wish mine eyes<br>Would, with themselves, shut up my thoughts. I find<br>They are inclined to do so.
ALONSO	2	1	902	902	1	4	Thank you. Wondrous heavy.
