character	act	scene	fromline	toline	lines	words	text
AGUECHEEK	1	3	154	154	1	8	Sir Toby Belch! How now, Sir Toby Belch?
AGUECHEEK	1	3	156	156	1	4	Bless you, fair shrew.
AGUECHEEK	1	3	159	159	1	2	What’s that?
AGUECHEEK	1	3	161	162	2	7	Good Mistress Accost, I desire better<br>acquaintance.
AGUECHEEK	1	3	164	164	1	4	Good Mistress Mary Accost—
AGUECHEEK	1	3	167	168	2	17	By my troth, I would not undertake her in<br>this company. Is that the meaning of <span class="quote" data-words="1">accost</span>?
AGUECHEEK	1	3	172	174	3	23	An you part so, mistress, I would I might<br>never draw sword again. Fair lady, do you think you<br>have fools in hand?
AGUECHEEK	1	3	176	177	2	9	Marry, but you shall have, and here’s my<br>hand.
AGUECHEEK	1	3	181	182	2	5	Wherefore, sweetheart? What’s your<br>metaphor?
AGUECHEEK	1	3	184	185	2	21	Why, I think so. I am not such an ass but I<br>can keep my hand dry. But what’s your jest?
AGUECHEEK	1	3	187	187	1	5	Are you full of them?
AGUECHEEK	1	3	192	196	5	45	Never in your life, I think, unless you see<br>canary put me down. Methinks sometimes I have<br>no more wit than a Christian or an ordinary man<br>has. But I am a great eater of beef, and I believe that<br>does harm to my wit.
AGUECHEEK	1	3	198	199	2	13	An I thought that, I’d forswear it. I’ll ride<br>home tomorrow, Sir Toby.
AGUECHEEK	1	3	201	204	4	32	What is <span class="quote" data-words="1"><span class="foreign" data-words="1" data-lang="fr">pourquoi</span></span>? Do, or not do? I would I<br>had bestowed that time in the tongues that I have in<br>fencing, dancing, and bearbaiting. O, had I but<br>followed the arts!
AGUECHEEK	1	3	206	206	1	7	Why, would that have mended my hair?
AGUECHEEK	1	3	209	209	1	9	But it becomes me well enough, does ’t not?
AGUECHEEK	1	3	213	216	4	32	Faith, I’ll home tomorrow, Sir Toby. Your<br>niece will not be seen, or if she be, it’s four to one<br>she’ll none of me. The Count himself here hard by<br>woos her.
AGUECHEEK	1	3	220	222	3	24	I’ll stay a month longer. I am a fellow o’ th’<br>strangest mind i’ th’ world. I delight in masques<br>and revels sometimes altogether.
AGUECHEEK	1	3	224	226	3	24	As any man in Illyria, whatsoever he be,<br>under the degree of my betters, and yet I will not<br>compare with an old man.
AGUECHEEK	1	3	228	228	1	6	Faith, I can cut a caper.
AGUECHEEK	1	3	230	231	2	15	And I think I have the back-trick simply as<br>strong as any man in Illyria.
AGUECHEEK	1	3	241	243	3	18	Ay, ’tis strong, and it does indifferent well in a<br>dun-colored stock. Shall we set about some<br>revels?
AGUECHEEK	1	3	246	246	1	5	Taurus? That’s sides and heart.
AGUECHEEK	2	3	705	706	2	19	Nay, by my troth, I know not. But I know to<br>be up late is to be up late.
AGUECHEEK	2	3	712	713	2	14	Faith, so they say, but I think it rather consists<br>of eating and drinking.
AGUECHEEK	2	3	716	716	1	6	Here comes the Fool, i’ faith.
AGUECHEEK	2	3	720	727	8	68	By my troth, the Fool has an excellent breast.<br>I had rather than forty shillings I had such a leg,<br>and so sweet a breath to sing, as the Fool has.—In<br>sooth, thou wast in very gracious fooling last night<br>when thou spok’st of Pigrogromitus, of the Vapians<br>passing the equinoctial of Queubus. ’Twas very<br>good, i’ faith. I sent thee sixpence for thy leman.<br>Hadst it?
AGUECHEEK	2	3	731	732	2	14	Excellent! Why, this is the best fooling when<br>all is done. Now, a song!
AGUECHEEK	2	3	735	736	2	11	There’s a testril of<br>me, too. If one knight give a—
AGUECHEEK	2	3	740	740	1	8	Ay, ay, I care not for good life.
AGUECHEEK	2	3	747	747	1	4	Excellent good, i’ faith!
AGUECHEEK	2	3	755	755	1	8	A mellifluous voice, as I am true knight.
AGUECHEEK	2	3	757	757	1	6	Very sweet and contagious, i’ faith.
AGUECHEEK	2	3	762	763	2	13	An you love me, let’s do ’t. I am dog at a<br>catch.
AGUECHEEK	2	3	765	765	2	8	Most certain. Let our catch be <span class="quote" data-words="2">ThouKnave.</span>
AGUECHEEK	2	3	769	770	3	20	’Tis not the first time I have constrained one<br>to call me <span class="quote" data-words="1">knave.</span> Begin, Fool. It begins <span class="quote" data-words="3">Holdthy peace.</span>
AGUECHEEK	2	3	773	773	1	5	Good, i’ faith. Come, begin.
AGUECHEEK	2	3	783	785	3	27	Ay, he does well enough if he be disposed,<br>and so do I, too. He does it with a better grace, but<br>I do it more natural.
AGUECHEEK	2	3	826	829	4	30	’Twere as good a deed as to drink when a<br>man’s a-hungry, to challenge him the field and<br>then to break promise with him and make a fool of<br>him.
AGUECHEEK	2	3	841	841	1	11	O, if I thought that, I’d beat him like a dog!
AGUECHEEK	2	3	844	845	2	13	I have no exquisite reason for ’t, but I have<br>reason good enough.
AGUECHEEK	2	3	863	863	1	7	I have ’t in my nose, too.
AGUECHEEK	2	3	868	868	1	9	And your horse now would make him an ass.
AGUECHEEK	2	3	870	870	1	4	O, ’twill be admirable!
AGUECHEEK	2	3	877	877	1	6	Before me, she’s a good wench.
AGUECHEEK	2	3	880	880	1	5	I was adored once, too.
AGUECHEEK	2	3	883	884	2	12	If I cannot recover your niece, I am a foul way<br>out.
AGUECHEEK	2	3	887	888	2	12	If I do not, never trust me, take it how you<br>will.
AGUECHEEK	2	5	1038	1038	1	10	An we do not, it is pity of our lives.
AGUECHEEK	2	5	1059	1059	1	7	’Slight, I could so beat the rogue!
AGUECHEEK	2	5	1063	1063	1	4	Pistol him, pistol him!
AGUECHEEK	2	5	1067	1067	1	4	Fie on him, Jezebel!
AGUECHEEK	2	5	1106	1106	1	5	That’s me, I warrant you.
AGUECHEEK	2	5	1108	1109	2	10	I knew ’twas I, for many do call me<br>fool.
AGUECHEEK	2	5	1119	1119	1	9	Her c’s, her u’s, and her t’s. Why that?
AGUECHEEK	2	5	1214	1214	1	4	So could I too.
AGUECHEEK	2	5	1217	1217	1	3	Nor I neither.
AGUECHEEK	2	5	1220	1220	1	4	Or o’ mine either?
AGUECHEEK	2	5	1223	1223	1	5	I’ faith, or I either?
AGUECHEEK	2	5	1239	1239	1	4	I’ll make one, too.
AGUECHEEK	3	1	1311	1311	1	4	<span class="foreign" data-words="4" data-lang="fr">Dieu vous garde, monsieur.</span>
AGUECHEEK	3	1	1313	1313	1	9	I hope, sir, you are, and I am yours.
AGUECHEEK	3	1	1327	1327	2	8	That youth’s a rare courtier. <span class="quote" data-words="2">Rainodors,</span> well.
AGUECHEEK	3	1	1331	1332	2	11	<span class="quote" data-words="1">Odors,</span> <span class="quote" data-words="1">pregnant,</span> and <span class="quote" data-words="1">vouchsafed.</span><br>I’ll get ’em all three all ready.
AGUECHEEK	3	2	1412	1412	1	8	No, faith, I’ll not stay a jot longer.
AGUECHEEK	3	2	1415	1417	3	24	Marry, I saw your niece do more favors to the<br>Count’s servingman than ever she bestowed upon<br>me. I saw ’t i’ th’ orchard.
AGUECHEEK	3	2	1420	1420	1	7	As plain as I see you now.
AGUECHEEK	3	2	1423	1423	1	8	’Slight, will you make an ass o’ me?
AGUECHEEK	3	2	1441	1443	3	24	An ’t be any way, it must be with valor, for<br>policy I hate. I had as lief be a Brownist as a<br>politician.
AGUECHEEK	3	2	1451	1451	1	10	Will either of you bear me a challenge to him?
AGUECHEEK	3	2	1461	1461	1	5	Where shall I find you?
AGUECHEEK	3	4	1699	1700	2	13	Here’s the challenge.<br>Read it. I warrant there’s vinegar and pepper in ’t.
AGUECHEEK	3	4	1702	1702	1	9	Ay, is ’t. I warrant him. Do but read.
AGUECHEEK	3	4	1738	1738	1	6	Nay, let me alone for swearing.
AGUECHEEK	3	4	1838	1838	1	8	Pox on ’t! I’ll not meddle with him.
AGUECHEEK	3	4	1841	1845	5	39	Plague on ’t! An I thought he had been<br>valiant, and so cunning in fence, I’d have seen him<br>damned ere I’d have challenged him. Let him let<br>the matter slip, and I’ll give him my horse, gray<br>Capilet.
AGUECHEEK	3	4	1870	1871	2	6	Pray God he keep his<br>oath!
AGUECHEEK	3	4	1884	1886	3	25	Marry, will I, sir. And for that I promised<br>you, I’ll be as good as my word. He will bear you<br>easily, and reins well.
AGUECHEEK	3	4	1958	1958	1	8	’Slid, I’ll after him again and beat him.
AGUECHEEK	3	4	1961	1961	1	4	An I do not—
AGUECHEEK	4	1	1987	1988	2	10	Now, sir, have I met you again?<br>There’s for you.
AGUECHEEK	4	1	1996	1999	4	38	Nay, let him alone. I’ll go another way to<br>work with him. I’ll have an action of battery against<br>him, if there be any law in Illyria. Though I struck<br>him first, yet it’s no matter for that.
AGUECHEEK	5	1	2385	2386	2	13	For the love of God, a surgeon! Send one<br>presently to Sir Toby.
AGUECHEEK	5	1	2388	2391	4	31	Has broke my head across, and has given Sir<br>Toby a bloody coxcomb too. For the love of God,<br>your help! I had rather than forty pound I were at<br>home.
AGUECHEEK	5	1	2393	2395	3	17	The Count’s gentleman, one Cesario. We took<br>him for a coward, but he’s the very devil<br>incardinate.
AGUECHEEK	5	1	2397	2399	3	26	’Od’s lifelings, here he is!—You broke my<br>head for nothing, and that that I did, I was set on to<br>do ’t by Sir Toby.
AGUECHEEK	5	1	2403	2407	5	52	If a bloody coxcomb be a hurt, you have hurt<br>me. I think you set nothing by a bloody coxcomb.<br>Here comes Sir Toby halting. You shall hear<br>more. But if he had not been in drink, he would<br>have tickled you othergates than he did.
AGUECHEEK	5	1	2417	2418	2	10	I’ll help you, Sir Toby, because we’ll be<br>dressed together.
ANTONIO-TN	2	1	614	615	2	14	Will you stay no longer? Nor will you not that<br>I go with you?
ANTONIO-TN	2	1	621	622	2	10	Let me yet know of you whither you are<br>bound.
ANTONIO-TN	2	1	636	636	1	3	Alas the day!
ANTONIO-TN	2	1	645	645	1	6	Pardon me, sir, your bad entertainment.
ANTONIO-TN	2	1	647	648	2	14	If you will not murder me for my love, let me<br>be your servant.
ANTONIO-TN	2	1	656	660	5	42	The gentleness of all the gods go with thee!<br>I have many enemies in Orsino’s court,<br>Else would I very shortly see thee there.<br>But come what may, I do adore thee so<br>That danger shall seem sport, and I will go.
ANTONIO-TN	3	3	1497	1506	10	75	I could not stay behind you. My desire,<br>More sharp than filèd steel, did spur me forth;<br>And not all love to see you, though so much<br>As might have drawn one to a longer voyage,<br>But jealousy what might befall your travel,<br>Being skill-less in these parts, which to a stranger,<br>Unguided and unfriended, often prove<br>Rough and unhospitable. My willing love,<br>The rather by these arguments of fear,<br>Set forth in your pursuit.
ANTONIO-TN	3	3	1514	1514	1	8	Tomorrow, sir. Best first go see your lodging.
ANTONIO-TN	3	3	1519	1523	5	40	Would you’d pardon me.<br>I do not without danger walk these streets.<br>Once in a sea fight ’gainst the Count his galleys<br>I did some service, of such note indeed<br>That were I ta’en here it would scarce be answered.
ANTONIO-TN	3	3	1525	1532	8	63	Th’ offense is not of such a bloody nature,<br>Albeit the quality of the time and quarrel<br>Might well have given us bloody argument.<br>It might have since been answered in repaying<br>What we took from them, which, for traffic’s sake,<br>Most of our city did. Only myself stood out,<br>For which, if I be lapsèd in this place,<br>I shall pay dear.
ANTONIO-TN	3	3	1534	1539	6	48	It doth not fit me. Hold, sir, here’s my purse.<br>In the south suburbs, at the Elephant,<br>Is best to lodge. I will bespeak our diet<br>Whiles you beguile the time and feed your<br>knowledge<br>With viewing of the town. There shall you have me.
ANTONIO-TN	3	3	1541	1543	3	24	Haply your eye shall light upon some toy<br>You have desire to purchase, and your store,<br>I think, is not for idle markets, sir.
ANTONIO-TN	3	3	1546	1546	1	3	To th’ Elephant.
ANTONIO-TN	3	4	1873	1875	3	26	Put up your sword. If this young gentleman<br>Have done offense, I take the fault on me.<br>If you offend him, I for him defy you.
ANTONIO-TN	3	4	1877	1878	2	20	One, sir, that for his love dares yet do more<br>Than you have heard him brag to you he will.
ANTONIO-TN	3	4	1890	1890	1	5	You do mistake me, sir.
ANTONIO-TN	3	4	1894	1901	8	56	I must obey. This comes with seeking<br>you.<br>But there’s no remedy. I shall answer it.<br>What will you do, now my necessity<br>Makes me to ask you for my purse? It grieves me<br>Much more for what I cannot do for you<br>Than what befalls myself. You stand amazed,<br>But be of comfort.
ANTONIO-TN	3	4	1903	1903	1	9	I must entreat of you some of that money.
ANTONIO-TN	3	4	1911	1916	6	43	Will you deny me now?<br>Is ’t possible that my deserts to you<br>Can lack persuasion? Do not tempt my misery,<br>Lest that it make me so unsound a man<br>As to upbraid you with those kindnesses<br>That I have done for you.
ANTONIO-TN	3	4	1923	1923	1	3	O heavens themselves!
ANTONIO-TN	3	4	1925	1929	5	42	Let me speak a little. This youth that you see here<br>I snatched one half out of the jaws of death,<br>Relieved him with such sanctity of love,<br>And to his image, which methought did promise<br>Most venerable worth, did I devotion.
ANTONIO-TN	3	4	1931	1936	6	46	But O, how vile an idol proves this god!<br>Thou hast, Sebastian, done good feature shame.<br>In nature there’s no blemish but the mind;<br>None can be called deformed but the unkind.<br>Virtue is beauty, but the beauteous evil<br>Are empty trunks o’erflourished by the devil.
ANTONIO-TN	3	4	1939	1939	1	3	Lead me on.
ANTONIO-TN	5	1	2272	2293	22	157	Orsino, noble sir,<br>Be pleased that I shake off these names you give<br>me.<br>Antonio never yet was thief or pirate,<br>Though, I confess, on base and ground enough,<br>Orsino’s enemy. A witchcraft drew me hither.<br>That most ingrateful boy there by your side<br>From the rude sea’s enraged and foamy mouth<br>Did I redeem; a wrack past hope he was.<br>His life I gave him and did thereto add<br>My love, without retention or restraint,<br>All his in dedication. For his sake<br>Did I expose myself, pure for his love,<br>Into the danger of this adverse town;<br>Drew to defend him when he was beset;<br>Where, being apprehended, his false cunning<br>(Not meaning to partake with me in danger)<br>Taught him to face me out of his acquaintance<br>And grew a twenty years’ removèd thing<br>While one would wink; denied me mine own purse,<br>Which I had recommended to his use<br>Not half an hour before.
