character	act	scene	fromline	toline	lines	words	text
			2176	2175	1	1	<span class="song" data-words="1">Whither?</span>
			2177	2176	1	2	<span class="song" data-words="2">O, whither?</span>
			2178	2177	1	1	<span class="song" data-words="1">Whither?</span>
			2179	2178	2	12	<span class="song" data-words="12">It becomes thy oath full well<br>Thou to me thy secrets tell.</span>
			2181	2180	1	6	<span class="song" data-words="6">Me too. Let me go thither.</span>
			2182	2181	1	8	<span class="song" data-words="8">Or thou goest to th’ grange or mill.</span>
			2183	2182	1	6	<span class="song" data-words="6">If to either, thou dost ill.</span>
			2185	2184	1	2	<span class="song" data-words="2">What, neither?</span>
			2187	2186	1	7	<span class="song" data-words="7">Thou hast sworn my love to be.</span>
			2188	2187	2	12	<span class="song" data-words="12">Thou hast sworn it more to me.<br>Then whither goest? Say whither.</span>
	1	1	1	4	4	34	If you shall chance, Camillo, to visit Bohemia<br>on the like occasion whereon my services<br>are now on foot, you shall see, as I have said, great<br>difference betwixt our Bohemia and your Sicilia.
	1	1	10	10	1	2	Beseech you—
	1	1	11	16	6	47	Verily, I speak it in the freedom of my<br>knowledge. We cannot with such magnificence—in<br>so rare—I know not what to say. We will give you<br>sleepy drinks, that your senses, unintelligent of our<br>insufficience, may, though they cannot praise us, as<br>little accuse us.
	1	1	17	18	2	11	You pay a great deal too dear for what’s given<br>freely.
	1	1	19	21	3	17	Believe me, I speak as my understanding<br>instructs me and as mine honesty puts it to<br>utterance.
	1	1	22	33	12	89	Sicilia cannot show himself over-kind to Bohemia.<br>They were trained together in their childhoods,<br>and there rooted betwixt them then such an<br>affection which cannot choose but branch now.<br>Since their more mature dignities and royal necessities<br>made separation of their society, their encounters,<br>though not personal, hath been royally<br>attorneyed with interchange of gifts, letters, loving<br>embassies, that they have seemed to be together<br>though absent, shook hands as over a vast, and<br>embraced as it were from the ends of opposed<br>winds. The heavens continue their loves.
	1	1	34	38	5	39	I think there is not in the world either<br>malice or matter to alter it. You have an unspeakable<br>comfort of your young Prince Mamillius. It is a<br>gentleman of the greatest promise that ever came<br>into my note.
	1	1	39	43	5	44	I very well agree with you in the hopes of<br>him. It is a gallant child—one that indeed physics<br>the subject, makes old hearts fresh. They that went<br>on crutches ere he was born desire yet their life to<br>see him a man.
	1	1	44	44	1	7	Would they else be content to die?
	1	1	45	46	2	13	Yes, if there were no other excuse why they<br>should desire to live.
	1	1	47	48	2	17	If the King had no son, they would desire<br>to live on crutches till he had one.
	1	1	5	7	3	20	I think this coming summer the King of<br>Sicilia means to pay Bohemia the visitation which<br>he justly owes him.
	1	1	8	9	2	15	Wherein our entertainment shall shame<br>us; we will be justified in our loves. For indeed—
	1	2	104	104	1	2	No, madam.
	1	2	105	105	1	4	Nay, but you will?
	1	2	106	106	1	4	I may not, verily.
	1	2	107	118	12	87	Verily?<br>You put me off with limber vows. But I,<br>Though you would seek t’ unsphere the stars with<br>oaths,<br>Should yet say <span class="quote" data-words="3">Sir, no going.</span> Verily,<br>You shall not go. A lady’s <span class="quote" data-words="1">verily</span> is<br>As potent as a lord’s. Will you go yet?<br>Force me to keep you as a prisoner,<br>Not like a guest, so you shall pay your fees<br>When you depart and save your thanks. How say you?<br>My prisoner or my guest? By your dread <span class="quote" data-words="1">verily,</span><br>One of them you shall be.
	1	2	119	122	4	23	Your guest, then, madam.<br>To be your prisoner should import offending,<br>Which is for me less easy to commit<br>Than you to punish.
	1	2	123	126	4	27	Not your jailer, then,<br>But your kind hostess. Come, I’ll question you<br>Of my lord’s tricks and yours when you were boys.<br>You were pretty lordings then?
	1	2	127	130	4	25	We were, fair queen,<br>Two lads that thought there was no more behind<br>But such a day tomorrow as today,<br>And to be boy eternal.
	1	2	131	132	2	10	Was not my lord<br>The verier wag o’ th’ two?
	1	2	133	142	10	66	We were as twinned lambs that did frisk i’ th’ sun<br>And bleat the one at th’ other. What we changed<br>Was innocence for innocence. We knew not<br>The doctrine of ill-doing, nor dreamed<br>That any did. Had we pursued that life,<br>And our weak spirits ne’er been higher reared<br>With stronger blood, we should have answered<br>heaven<br>Boldly <span class="quote" data-words="2">Not guilty,</span> the imposition cleared<br>Hereditary ours.
	1	2	143	144	2	8	By this we gather<br>You have tripped since.
	1	2	145	149	5	36	O my most sacred lady,<br>Temptations have since then been born to ’s, for<br>In those unfledged days was my wife a girl;<br>Your precious self had then not crossed the eyes<br>Of my young playfellow.
